Wall time,Step,Value
1694065660.5833347,1,500.0
1694065778.183879,21,500.0
1694065897.4029872,41,500.0
1694066016.2333379,61,500.0
1694066135.1560025,81,500.0
1694066254.2112093,101,500.0
1694066373.3601778,121,500.0
1694066492.2603817,141,500.0
1694066611.6894217,161,500.0
1694066731.48,181,500.0
1694066850.774533,201,500.0
1694066969.8300703,221,500.0
1694067089.4357147,241,500.0
1694067209.1049836,261,500.0
1694067328.476231,281,500.0
1694067448.5563908,301,500.0
1694067568.426322,321,500.0
1694067687.9437366,341,500.0
1694067807.6747994,361,500.0
1694067927.0980434,381,500.0
1694068046.8605409,401,500.0
1694068165.9986684,421,500.0
1694068286.100828,441,500.0
1694068406.3033805,461,500.0
1694068526.1144335,481,500.0
1694068645.848903,501,500.0
1694068765.3578596,521,500.0
1694068885.082032,541,500.0
1694069005.2001147,561,500.0
1694069124.8801563,581,500.0
1694069244.7746909,601,500.0
1694069364.872539,621,500.0
1694069484.6676784,641,500.0
1694069604.749973,661,500.0
1694069724.3614862,681,500.0
1694069844.8896384,701,500.0
1694069964.8319442,721,500.0
1694070085.256955,741,500.0
1694070205.2262175,761,500.0
1694070325.5369248,781,500.0
1694070445.8602443,801,500.0
1694070566.3798373,821,500.0
1694070685.5100303,841,500.0
1694070806.1728995,861,500.0
1694070926.8325875,881,500.0
1694071047.8218036,901,500.0
1694071168.420651,921,500.0
1694071289.175984,941,500.0
1694071409.8526235,961,500.0
1694071530.8677118,981,500.0
1694071652.1520767,1001,500.0
1694071772.9319708,1021,500.0
1694071893.4316225,1041,500.0
1694072013.7498806,1061,500.0
1694072133.9687986,1081,500.0
1694072255.0316794,1101,500.0
1694072375.7125068,1121,500.0
1694072496.2772746,1141,500.0
1694072616.68176,1161,500.0
1694072737.8757093,1181,500.0
1694072858.6786463,1201,500.0
1694072979.8975613,1221,500.0
1694073101.0545464,1241,500.0
1694073221.5443704,1261,500.0
1694073343.09661,1281,500.0
1694073464.3164833,1301,500.0
1694073584.9440162,1321,500.0
1694073705.8629317,1341,500.0
1694073827.0334117,1361,500.0
1694073948.213139,1381,500.0
1694074069.823239,1401,500.0
1694074190.7285502,1421,500.0
1694074311.9717922,1441,500.0
1694074432.6666076,1461,500.0
1694074553.2920723,1481,500.0
1694074674.9122758,1501,500.0
1694074796.1482797,1521,500.0
1694074917.220776,1541,499.5988464355469
1694075038.7999363,1561,500.0
1694075160.2516458,1581,500.0
1694075282.025507,1601,500.0
1694075403.475539,1621,500.0
1694075524.6570885,1641,500.0
1694075645.9274375,1661,498.54022216796875
1694075767.3856742,1681,500.0
1694075889.2085016,1701,499.4046325683594
1694076010.7815847,1721,498.7485656738281
1694076131.851215,1741,500.0
1694076253.4753172,1761,500.0
