Wall time,Step,Value
1693316999.157171,1,300.0
1693317067.4191847,21,300.0
1693317135.226672,41,300.0
1693317204.1366498,61,300.0
1693317272.137165,81,300.0
1693317340.367895,101,300.0
1693317407.968788,121,300.0
1693317475.8171577,141,300.0
1693317543.7856677,161,300.0
1693317611.6588902,181,300.0
1693317679.656911,201,300.0
1693317748.0168967,221,300.0
1693317816.0408168,241,300.0
1693317884.275511,261,300.0
1693317952.281051,281,300.0
1693318020.0958517,301,300.0
1693318088.4849362,321,300.0
1693318156.715854,341,300.0
1693318224.5945454,361,300.0
1693318292.3868892,381,300.0
1693318360.2287936,401,300.0
1693318427.964707,421,300.0
1693318496.8372135,441,300.0
1693318565.7759242,461,300.0
1693318633.5079172,481,300.0
1693318701.315959,501,300.0
1693318769.168433,521,300.0
1693318838.076007,541,300.0
1693318906.5381002,561,300.0
1693318974.4495935,581,300.0
1693319042.2801843,601,300.0
1693319109.8633022,621,300.0
1693319177.7856522,641,300.0
1693319245.6524131,661,293.75860595703125
1693319313.6682107,681,300.0
1693319381.9427736,701,300.0
1693319449.8159134,721,300.0
1693319517.5314813,741,300.0
1693319585.7571008,761,300.0
1693319654.0134416,781,300.0
1693319722.4744396,801,300.0
1693319790.3738327,821,300.0
1693319858.3558238,841,300.0
1693319926.0835645,861,294.2758483886719
1693319994.142157,881,296.82757568359375
1693320062.0844328,901,300.0
1693320130.2838466,921,300.0
1693320197.941301,941,295.8214416503906
1693320265.6775787,961,300.0
1693320333.0789602,981,293.0
1693320401.0402596,1001,300.0
1693320469.2733371,1021,300.0
1693320537.857462,1041,300.0
1693320606.3176167,1061,298.8571472167969
1693320674.458569,1081,298.5172424316406
1693320742.5329535,1101,294.3793029785156
1693320810.3611603,1121,300.0
1693320877.814493,1141,300.0
1693320946.1652303,1161,295.4482727050781
1693321014.938726,1181,300.0
1693321083.010153,1201,299.4482727050781
1693321151.4937675,1221,298.10345458984375
1693321219.7667267,1241,300.0
1693321287.7588289,1261,298.7930908203125
1693321356.1738436,1281,295.5862121582031
1693321424.1060662,1301,294.7241516113281
1693321492.4889474,1321,300.0
1693321560.5180397,1341,295.2069091796875
1693321628.8463106,1361,300.0
1693321697.1108654,1381,300.0
1693321765.154001,1401,300.0
1693321832.9937696,1421,299.6071472167969
1693321900.8865654,1441,300.0
1693321969.1533105,1461,300.0
1693322037.8187342,1481,300.0
1693322106.2784379,1501,300.0
1693322174.158092,1521,297.6071472167969
1693322242.2380886,1541,300.0
1693322310.1454456,1561,289.4482727050781
