Wall time,Step,Value
1692873409.320545,1,300.0
1692873493.3495212,21,300.0
1692873578.1364577,41,300.0
1692873662.9751146,61,300.0
1692873747.439803,81,299.376953125
1692873832.0471258,101,300.0
1692873916.3971224,121,300.0
1692874000.428323,141,300.0
1692874084.9951997,161,300.0
1692874169.1444285,181,300.0
1692874253.702623,201,300.0
1692874338.1415787,221,300.0
1692874422.4721694,241,300.0
1692874506.7522337,261,300.0
1692874591.1399217,281,300.0
1692874675.67619,301,300.0
1692874760.124369,321,300.0
1692874844.830803,341,299.7291564941406
1692874928.5280366,361,300.0
1692875012.475639,381,299.5372314453125
1692875096.7025886,401,300.0
1692875181.411967,421,300.0
1692875266.0965915,441,300.0
1692875350.553295,461,299.9739685058594
1692875435.3489969,481,299.8385314941406
1692875520.0568998,501,300.0
1692875604.5461757,521,297.73297119140625
1692875689.1465964,541,298.01031494140625
1692875773.7282805,561,297.670166015625
1692875858.1355107,581,295.3678894042969
1692875942.4752288,601,293.6075134277344
1692876027.3653784,621,293.6275634765625
1692876111.5830424,641,292.7157287597656
1692876195.8197093,661,293.6071472167969
1692876280.4317067,681,295.2091979980469
1692876364.975001,701,293.2704162597656
1692876449.917857,721,287.2288513183594
1692876534.969571,741,294.3147277832031
1692876620.1893318,761,289.13433837890625
1692876705.5476315,781,286.945556640625
1692876790.2747538,801,294.2727355957031
1692876875.7322226,821,294.61614990234375
1692876960.252786,841,278.3707275390625
1692877044.4155097,861,276.7874450683594
1692877129.027735,881,273.0047607421875
1692877212.956112,901,278.13525390625
1692877297.0468266,921,276.8829345703125
1692877381.3069863,941,283.7745056152344
1692877465.5719628,961,284.7049865722656
1692877549.4712873,981,287.6400146484375
1692877633.5504851,1001,284.7650146484375
1692877717.5193405,1021,281.7597961425781
1692877801.5333025,1041,288.08673095703125
1692877885.1761343,1061,280.60198974609375
1692877969.0724208,1081,278.82843017578125
1692878053.3759785,1101,289.2552185058594
1692878137.4015732,1121,286.4693908691406
1692878221.8808124,1141,280.1708679199219
1692878305.7018769,1161,279.8888854980469
1692878390.0266035,1181,296.27178955078125
1692878474.455498,1201,283.5445556640625
1692878559.1112769,1221,295.8316345214844
1692878643.1345289,1241,293.60308837890625
1692878726.9815028,1261,276.6618347167969
1692878811.639806,1281,269.36151123046875
1692878895.8190343,1301,254.587158203125
1692878980.5380445,1321,268.1159362792969
1692879065.4506295,1341,278.472900390625
1692879150.150869,1361,256.3972473144531
1692879234.7133226,1381,241.63446044921875
1692879318.990072,1401,228.5
1692879403.966009,1421,232.3040008544922
1692879489.3039386,1441,238.64730834960938
1692879574.371477,1461,213.80899047851562
1692879659.4242272,1481,272.61651611328125
1692879744.5146523,1501,272.25604248046875
1692879829.5520005,1521,289.9896240234375
1692879914.6022313,1541,257.39556884765625
1692880000.177984,1561,232.75599670410156
1692880084.6331177,1581,261.15533447265625
1692880170.1619132,1601,235.8340301513672
1692880254.760968,1621,281.3786315917969
1692880339.8635035,1641,265.83026123046875
1692880425.3171256,1661,245.89451599121094
1692880510.808854,1681,228.0117645263672
1692880594.7674122,1701,215.41378784179688
1692880680.4468262,1721,220.28076171875
1692880765.357242,1741,217.29739379882812
1692880850.3655283,1761,185.67637634277344
1692880935.8398902,1781,181.03164672851562
1692881021.2196145,1801,207.11428833007812
1692881106.323046,1821,207.05775451660156
1692881191.5121024,1841,206.0800018310547
1692881276.723042,1861,231.89157104492188
1692881361.8633733,1881,281.64422607421875
1692881447.0504155,1901,275.50238037109375
1692881532.449634,1921,243.22084045410156
1692881617.3957884,1941,222.12791442871094
1692881702.0307274,1961,223.66148376464844
1692881787.6081228,1981,209.86447143554688
1692881872.811467,2001,226.57421875
1692881958.0487292,2021,190.0894012451172
1692882043.175208,2041,203.60992431640625
1692882128.459136,2061,212.8235321044922
1692882213.2992566,2081,204.8428497314453
1692882298.525562,2101,195.649658203125
1692882383.3049433,2121,179.63949584960938
1692882468.368135,2141,179.02821350097656
1692882553.353996,2161,198.4459991455078
1692882638.43787,2181,194.8013458251953
1692882724.0825882,2201,199.7628936767578
1692882808.855614,2221,193.5152587890625
1692882893.7188299,2241,162.9828643798828
1692882978.6417186,2261,200.4250946044922
1692883063.329149,2281,160.34365844726562
1692883148.450149,2301,166.25146484375
1692883233.660646,2321,171.71641540527344
1692883318.91011,2341,163.44570922851562
1692883403.97189,2361,172.4410858154297
1692883489.1251233,2381,166.72543334960938
1692883573.940221,2401,164.2244873046875
1692883658.7846096,2421,142.81704711914062
1692883744.2575629,2441,151.14210510253906
1692883828.6970718,2461,140.6800994873047
1692883913.727548,2481,177.55728149414062
1692883998.7769535,2501,136.58071899414062
1692884083.5871058,2521,135.81686401367188
1692884168.7519832,2541,126.63452911376953
1692884253.836926,2561,153.0483856201172
1692884338.5080268,2581,138.8472900390625
1692884423.0199966,2601,145.8015594482422
1692884508.1674242,2621,195.3288116455078
1692884593.5934858,2641,128.8426971435547
1692884678.462805,2661,128.96583557128906
1692884762.1444366,2681,146.08616638183594
1692884847.6019888,2701,121.4215087890625
1692884932.644862,2721,135.4665069580078
1692885018.0521467,2741,116.69310760498047
1692885103.2874322,2761,136.88941955566406
1692885188.536492,2781,129.20870971679688
1692885273.623179,2801,132.17401123046875
1692885359.167635,2821,128.38963317871094
1692885444.3741894,2841,118.87076568603516
1692885529.5055559,2861,127.50564575195312
1692885615.149739,2881,140.5533447265625
1692885700.3641815,2901,137.08958435058594
1692885785.1552742,2921,139.5122528076172
1692885870.80287,2941,139.79310607910156
1692885956.5762112,2961,158.3022003173828
1692886041.8022637,2981,125.15929412841797
1692886127.3653147,3001,108.91068267822266
1692886213.1581407,3021,115.89979553222656
1692886298.641244,3041,103.05320739746094
1692886384.2181435,3061,189.91000366210938
1692886469.8322093,3081,198.72694396972656
1692886555.857987,3101,177.767578125
1692886641.544897,3121,156.9479522705078
1692886727.0754821,3141,181.51419067382812
1692886812.2478006,3161,188.75244140625
1692886897.6599653,3181,169.48680114746094
1692886982.6406333,3201,131.02752685546875
1692887068.2837896,3221,121.77586364746094
1692887153.7615004,3241,109.83561706542969
1692887239.4324121,3261,116.22040557861328
1692887325.097024,3281,131.39219665527344
1692887410.3559117,3301,123.58940124511719
1692887495.383689,3321,136.35646057128906
1692887580.3186398,3341,110.76831817626953
1692887665.6239774,3361,112.31076049804688
1692887750.7074933,3381,105.6609878540039
1692887835.486854,3401,110.15338897705078
1692887920.644435,3421,111.80239868164062
1692888006.4810562,3441,120.18604278564453
1692888091.986849,3461,110.14481353759766
1692888177.6488876,3481,118.75316619873047
1692888263.1248312,3501,123.84901428222656
1692888348.3387601,3521,149.37037658691406
1692888434.1508417,3541,140.98529052734375
1692888520.0047326,3561,116.88683319091797
1692888605.927157,3581,110.66732025146484
1692888690.724083,3601,106.34034729003906
1692888775.716834,3621,124.65110778808594
1692888860.7452664,3641,127.2590103149414
1692888944.9078233,3661,155.48492431640625
1692889029.9934204,3681,142.68182373046875
1692889115.0037832,3701,150.57180786132812
