Wall time,Step,Value
1693178135.1418495,1,300.0
1693178219.2884936,21,300.0
1693178303.191406,41,300.0
1693178387.7613466,61,300.0
1693178472.1103733,81,300.0
1693178556.6371896,101,300.0
1693178640.4222665,121,300.0
1693178724.8375473,141,300.0
1693178808.7103398,161,300.0
1693178893.065863,181,300.0
1693178977.2762947,201,300.0
1693179061.6407366,221,300.0
1693179146.514528,241,300.0
1693179230.6804671,261,300.0
1693179314.9123552,281,300.0
1693179398.5797796,301,300.0
1693179482.6577356,321,300.0
1693179566.8093796,341,300.0
1693179650.4905322,361,299.9424133300781
1693179734.5415301,381,300.0
1693179818.7498734,401,300.0
1693179902.7487366,421,300.0
1693179987.0094857,441,300.0
1693180071.2835243,461,300.0
1693180155.1106875,481,300.0
1693180239.2259655,501,300.0
1693180323.41206,521,300.0
1693180407.2328577,541,300.0
1693180491.4499917,561,299.8489685058594
1693180575.9419274,581,300.0
1693180660.474257,601,300.0
1693180744.836542,621,299.4947814941406
1693180828.5501678,641,300.0
1693180912.8169377,661,300.0
1693180996.7443895,681,300.0
1693181080.829498,701,299.953125
1693181165.6481292,721,300.0
1693181249.4713283,741,300.0
1693181333.022746,761,299.726318359375
1693181416.68211,781,299.61053466796875
1693181500.418585,801,299.3697814941406
1693181584.8565452,821,300.0
1693181668.4892962,841,299.481689453125
1693181752.932711,861,300.0
1693181836.7481973,881,299.8578796386719
1693181921.0866663,901,299.4947814941406
1693182005.7109337,921,299.6197814941406
1693182090.2144334,941,299.53125
1693182174.8191097,961,298.1692199707031
1693182259.5805385,981,300.0
1693182344.3345199,1001,298.1649475097656
1693182428.3383996,1021,298.0366516113281
1693182513.0080624,1041,299.4093322753906
1693182597.8763695,1061,300.0
1693182682.8321695,1081,299.6632080078125
1693182767.3937194,1101,300.0
1693182853.1767595,1121,299.30413818359375
1693182938.9726639,1141,298.4949035644531
1693183024.988048,1161,299.5939025878906
1693183110.07464,1181,297.27691650390625
1693183195.2626595,1201,296.73980712890625
1693183280.0319674,1221,300.0
1693183364.895076,1241,294.80926513671875
1693183449.1575942,1261,296.9795837402344
1693183533.6885111,1281,299.2901611328125
1693183618.1840105,1301,295.48468017578125
1693183702.0679111,1321,293.3857727050781
1693183786.6525087,1341,294.73736572265625
1693183871.0380905,1361,296.1082458496094
1693183955.699877,1381,295.70770263671875
1693184039.8101964,1401,299.95361328125
1693184124.539749,1421,300.0
1693184208.4257922,1441,300.0
1693184292.4221685,1461,299.7958068847656
1693184376.181046,1481,300.0
1693184459.976623,1501,299.1041564941406
1693184543.7345428,1521,298.93194580078125
1693184627.7388606,1541,296.6165771484375
1693184712.442601,1561,297.8923034667969
1693184796.350093,1581,295.65802001953125
1693184879.989709,1601,298.8481750488281
1693184963.7451127,1621,296.0927734375
1693185047.6012335,1641,297.8860168457031
1693185131.7266195,1661,290.1224365234375
1693185216.0842576,1681,294.30963134765625
1693185300.028932,1701,298.3105163574219
1693185384.5401511,1721,298.29742431640625
1693185468.6902263,1741,294.025390625
1693185552.7195244,1761,293.5204162597656
1693185636.7371783,1781,294.5440368652344
1693185720.7467535,1801,288.9549865722656
1693185804.84352,1821,296.94818115234375
1693185889.3581946,1841,293.609130859375
1693185974.5148118,1861,299.0769348144531
1693186058.8900108,1881,298.5416564941406
1693186143.66923,1901,300.0
1693186227.7450154,1921,300.0
