Wall time,Step,Value
1695366401.062038,1,500.0
1695366758.1430597,61,500.0
1695366876.9804492,81,500.0
1695367589.3051405,201,500.0
1695367708.4529011,221,500.0
1695368065.2778358,281,500.0
1695368184.2932951,301,500.0
1695368541.4741745,361,500.0
1695368659.98319,381,500.0
1695368779.0759995,401,500.0
1695369017.0847726,441,500.0
1695369136.832717,461,500.0
1695369495.3225553,521,500.0
1695369615.5561607,541,500.0
1695370333.7471874,661,500.0
1695370691.52682,721,500.0
1695370812.2354164,741,500.0
1695370932.1858187,761,500.0
1695371052.5804486,781,500.0
1695371172.8654132,801,500.0
1695372012.184173,941,500.0
1695372132.361634,961,500.0
1695372251.5502644,981,500.0
1695372491.1115966,1021,500.0
1695372609.7817621,1041,500.0
1695372850.646514,1081,500.0
1695373212.3506646,1141,500.0
1695373572.3173912,1201,500.0
1695373692.6112754,1221,500.0
1695373812.779501,1241,500.0
1695373932.9151416,1261,500.0
1695374174.1810706,1301,500.0
1695374294.8963807,1321,500.0
1695374415.4896364,1341,500.0
1695374536.9027927,1361,500.0
1695374776.793435,1401,500.0
1695374897.5547285,1421,500.0
1695375619.6921573,1541,500.0
1695375861.363386,1581,500.0
1695375981.61154,1601,500.0
1695376223.5877862,1641,500.0
1695376344.217628,1661,500.0
1695376585.1656282,1701,500.0
1695377068.8404083,1781,500.0
1695377189.5174825,1801,500.0
1695377790.0413618,1901,500.0
1695378271.886785,1981,500.0
1695378393.134483,2001,500.0
1695378754.9708285,2061,500.0
1695379116.6595852,2121,500.0
1695379237.415206,2141,500.0
1695379477.6119103,2181,500.0
1695380077.8885176,2281,500.0
1695380318.1607387,2321,500.0
1695380921.8221285,2421,500.0
1695381406.1298234,2501,500.0
1695381526.6528597,2521,500.0
1695381767.243662,2561,500.0
1695382007.8064,2601,500.0
1695382128.4725976,2621,500.0
1695382248.8634515,2641,500.0
1695382729.1641378,2721,500.0
1695382850.394572,2741,500.0
1695383574.6827652,2861,499.5555419921875
1695383695.9835725,2881,500.0
1695383937.1161358,2921,500.0
1695384057.7900605,2941,500.0
1695384420.4196987,3001,500.0
1695385268.2894394,3141,500.0
1695385509.8979495,3181,500.0
1695385631.401096,3201,500.0
1695385873.5293658,3241,500.0
1695386115.2083435,3281,500.0
1695386356.2221646,3321,500.0
1695386840.8160017,3401,500.0
1695386962.5792599,3421,500.0
1695387083.6161902,3441,500.0
1695387447.637283,3501,500.0
1695387569.099714,3521,500.0
1695387690.7197628,3541,500.0
1695387811.1971745,3561,500.0
1695388052.951709,3601,500.0
1695388174.7736914,3621,500.0
1695388537.3723238,3681,500.0
1695388659.0857937,3701,500.0
1695388779.7986112,3721,500.0
1695389143.9351249,3781,500.0
1695389264.950806,3801,500.0
1695389385.405188,3821,500.0
1695389506.7584476,3841,500.0
1695389869.629413,3901,500.0
1695390353.1559372,3981,500.0
1695390474.4620147,4001,500.0
1695390716.3705614,4041,500.0
1695390837.7839391,4061,500.0
1695390958.664241,4081,500.0
1695391080.328114,4101,500.0
1695391322.345692,4141,500.0
1695391565.1946588,4181,500.0
1695391807.0783093,4221,500.0
1695392049.5448122,4261,500.0
1695392292.5023987,4301,500.0
1695392413.6908553,4321,500.0
1695392656.2977126,4361,500.0
1695392776.9655716,4381,500.0
1695392898.1605244,4401,500.0
1695393019.8258288,4421,500.0
1695393140.295423,4441,500.0
1695393381.5275156,4481,500.0
1695393503.017075,4501,500.0
1695393987.0487812,4581,500.0
1695394711.3919382,4701,500.0
1695394949.919133,4741,500.0
1695395070.1618304,4761,500.0
1695395190.701618,4781,500.0
1695395432.200047,4821,500.0
1695395553.3429768,4841,500.0
1695395794.206259,4881,500.0
1695395915.7007601,4901,500.0
1695396036.0358973,4921,500.0
1695396156.47025,4941,500.0
1695396757.314244,5041,500.0
1695396878.040444,5061,500.0
1695396998.7483404,5081,500.0
1695397359.9593334,5141,500.0
1695397480.8802254,5161,500.0
1695397602.2311175,5181,500.0
1695397722.3053997,5201,500.0
1695397964.312832,5241,500.0
1695398931.226602,5401,500.0
1695399051.039014,5421,500.0
1695399412.2160408,5481,500.0
1695399533.4326234,5501,500.0
1695399654.4190507,5521,500.0
1695399896.43472,5561,500.0
1695400136.1866946,5601,500.0
1695400377.0539405,5641,500.0
1695400496.9672582,5661,500.0
1695400738.386817,5701,500.0
1695400980.1568596,5741,500.0
1695401100.7552063,5761,500.0
1695401341.4883306,5801,500.0
1695401941.3031693,5901,500.0
1695402060.5455675,5921,500.0
1695402180.8454325,5941,500.0
1695402300.8084035,5961,500.0
1695403015.5272114,6081,500.0
1695403254.8554087,6121,500.0
1695403493.8337421,6161,500.0
1695403613.6526837,6181,500.0
1695403973.9027114,6241,500.0
1695404093.8493674,6261,500.0
1695404453.096781,6321,500.0
1695404691.6903992,6361,500.0
1695404811.530049,6381,500.0
1695405171.7117352,6441,500.0
1695405412.1049547,6481,500.0
1695406011.1095986,6581,500.0
1695406129.5474274,6601,500.0
1695406249.8721929,6621,500.0
1695406369.543575,6641,500.0
1695406968.5349455,6741,500.0
1695407088.5564082,6761,500.0
1695407326.46528,6801,500.0
1695407686.4207993,6861,500.0
1695407805.9801264,6881,500.0
1695407926.383012,6901,500.0
1695408046.8590276,6921,500.0
1695408286.5953012,6961,500.0
1695408527.6968555,7001,500.0
1695408767.1203427,7041,500.0
1695408887.4631932,7061,500.0
1695409006.9014983,7081,500.0
1695409486.0116181,7161,500.0
1695409725.6606753,7201,500.0
1695409966.1719913,7241,500.0
1695410086.4512682,7261,500.0
1695410207.8783255,7281,500.0
1695410325.8426316,7301,500.0
1695410446.1500692,7321,500.0
1695410565.9429262,7341,500.0
1695410686.8904102,7361,500.0
1695411406.7181401,7481,500.0
1695411765.335054,7541,500.0
1695411885.4199069,7561,500.0
1695412722.8876364,7701,500.0
1695412842.4027617,7721,500.0
1695413323.9884312,7801,500.0
1695413444.5310345,7821,500.0
1695413564.2118523,7841,500.0
1695413681.6872191,7861,500.0
1695413802.0948296,7881,500.0
1695413922.8857946,7901,500.0
1695414043.4691038,7921,500.0
1695414162.8484905,7941,500.0
1695414282.0674253,7961,500.0
1695414401.7598257,7981,500.0
1695414642.4733973,8021,500.0
1695414762.50069,8041,500.0
1695415001.370909,8081,500.0
1695415480.6574023,8161,500.0
1695415599.9073236,8181,500.0
1695415961.873716,8241,500.0
1695416081.7993422,8261,500.0
1695416201.6843882,8281,500.0
1695416321.237033,8301,500.0
1695416681.1059046,8361,500.0
1695417040.274653,8421,500.0
1695417159.9251838,8441,500.0
1695417519.0457113,8501,500.0
1695417638.9273884,8521,500.0
1695418118.307968,8601,500.0
1695418238.5493844,8621,500.0
1695418598.4801133,8681,500.0
1695418718.7141242,8701,500.0
1695418838.7445354,8721,500.0
1695418958.9535227,8741,500.0
1695419078.9784656,8761,500.0
1695419199.7292345,8781,500.0
1695419320.6976614,8801,500.0
1695419441.2101996,8821,500.0
1695419680.4187558,8861,500.0
1695419800.1588209,8881,500.0
1695419920.1618512,8901,500.0
1695420040.3957663,8921,500.0
1695420520.6811993,9001,500.0
1695420641.2311172,9021,500.0
1695420761.3471324,9041,500.0
1695420879.8542457,9061,500.0
1695420998.6517568,9081,500.0
1695421237.5234745,9121,500.0
1695421477.4356897,9161,500.0
1695421718.3662124,9201,500.0
1695421838.2311344,9221,500.0
1695422199.3039558,9281,500.0
1695422319.6336849,9301,500.0
1695422440.5137877,9321,500.0
1695422679.0597253,9361,500.0
1695422919.4332244,9401,500.0
1695423398.8735967,9481,500.0
1695423516.3311775,9501,500.0
1695423877.45062,9561,500.0
1695423998.5366182,9581,500.0
1695424118.6482944,9601,500.0
1695424239.1223829,9621,500.0
1695424359.395003,9641,500.0
1695424480.0578268,9661,500.0
1695424600.0177186,9681,500.0
1695424839.6487448,9721,500.0
1695424958.4124012,9741,500.0
1695425079.0663452,9761,500.0
1695425198.7759116,9781,500.0
1695425437.999442,9821,500.0
1695425797.2729394,9881,500.0
1695426274.0822022,9961,500.0
1695426634.7411208,10021,500.0
1695426754.8855731,10041,500.0
1695426875.7596288,10061,500.0
1695427234.1290183,10121,500.0
1695427473.866495,10161,500.0
1695427592.543141,10181,500.0
1695427712.3273265,10201,500.0
1695427831.572271,10221,500.0
1695427951.502386,10241,500.0
1695428072.2848246,10261,500.0
1695428192.2091253,10281,500.0
1695428553.0863655,10341,500.0
1695428673.199678,10361,500.0
1695428793.7082858,10381,500.0
1695428914.1365924,10401,500.0
1695429272.58156,10461,500.0
1695430108.0770493,10601,500.0
1695430468.404595,10661,500.0
1695430589.3750126,10681,500.0
1695430828.2614696,10721,500.0
1695430947.1924994,10741,500.0
1695431067.3587456,10761,500.0
1695431185.840405,10781,500.0
1695431306.2177472,10801,500.0
1695431546.1252704,10841,500.0
1695431665.8815687,10861,500.0
1695431785.7174795,10881,500.0
1695432025.9092531,10921,500.0
1695432145.8781996,10941,500.0
1695432505.6238663,11001,500.0
1695432743.8622165,11041,500.0
1695432982.9664621,11081,500.0
1695433103.0899265,11101,500.0
1695433223.5959463,11121,500.0
1695433941.3527305,11241,500.0
1695434060.7290032,11261,500.0
1695434181.331237,11281,500.0
1695434660.5633285,11361,500.0
1695435020.2154124,11421,500.0
1695435260.0216286,11461,500.0
1695435615.112486,11521,500.0
1695436093.285415,11601,500.0
1695436572.2438996,11681,500.0
1695436692.5695593,11701,500.0
1695436812.3679934,11721,500.0
1695437050.843449,11761,500.0
1695437291.6303773,11801,500.0
1695437412.0042686,11821,500.0
1695437532.121643,11841,500.0
1695437770.5932384,11881,500.0
1695438010.862389,11921,500.0
1695438130.4709587,11941,500.0
1695438250.761933,11961,500.0
1695438369.7288332,11981,500.0
1695438609.2412696,12021,500.0
1695438730.3352816,12041,500.0
1695438848.8682222,12061,500.0
1695439089.16834,12101,500.0
1695439449.455146,12161,500.0
1695439690.6041374,12201,500.0
1695440051.489855,12261,500.0
1695440171.0144536,12281,500.0
1695440412.3329482,12321,500.0
1695440654.089047,12361,500.0
1695440895.2101195,12401,500.0
1695441137.095861,12441,500.0
1695441257.5241392,12461,500.0
1695441618.6601446,12521,500.0
1695441860.9668698,12561,500.0
1695441981.456649,12581,500.0
1695442463.363313,12661,500.0
1695442705.1202807,12701,500.0
1695442947.216217,12741,500.0
1695443307.4722023,12801,500.0
1695443427.8491557,12821,500.0
1695443548.3552427,12841,500.0
1695443668.6139007,12861,500.0
1695443789.723141,12881,500.0
1695443908.9407032,12901,500.0
1695444389.9351497,12981,500.0
1695444630.2895439,13021,500.0
1695444751.4925025,13041,500.0
1695444871.6412215,13061,500.0
1695444991.7997146,13081,500.0
1695445110.2393234,13101,500.0
1695445472.9324503,13161,500.0
1695445594.1963966,13181,500.0
1695445713.888124,13201,500.0
1695446560.3799787,13341,500.0
1695446923.008585,13401,500.0
1695447525.3581216,13501,500.0
1695447645.3987029,13521,500.0
1695447764.3303354,13541,500.0
1695448124.4247205,13601,500.0
1695448363.4011083,13641,500.0
1695448483.2739937,13661,500.0
1695448604.451186,13681,500.0
1695448965.072764,13741,500.0
1695449564.9286268,13841,500.0
1695449803.3197932,13881,500.0
1695449923.8321416,13901,500.0
1695450043.844468,13921,500.0
1695450163.3958645,13941,500.0
1695450403.5648077,13981,500.0
1695450761.2441792,14041,500.0
1695450881.4920065,14061,500.0
1695451122.7566113,14101,500.0
1695451602.7375312,14181,500.0
1695451722.9526331,14201,500.0
1695451964.1200714,14241,500.0
1695452324.7886605,14301,500.0
1695452566.0009162,14341,500.0
1695452806.2249796,14381,500.0
1695452926.5702908,14401,500.0
1695453045.9242108,14421,500.0
1695453285.7682,14461,500.0
1695453527.1006048,14501,500.0
1695453647.552652,14521,500.0
1695453768.1918676,14541,500.0
1695453889.5178506,14561,500.0
1695454010.2305353,14581,500.0
1695454251.7740703,14621,500.0
1695454372.6315544,14641,500.0
1695454491.8179636,14661,500.0
1695455093.8675985,14761,500.0
1695455214.4122164,14781,500.0
1695455334.8801427,14801,500.0
1695455576.7189748,14841,500.0
1695455697.0570784,14861,500.0
1695455816.6791542,14881,500.0
1695455937.2518775,14901,500.0
1695456778.0538046,15041,500.0
1695457139.7251878,15101,500.0
1695457258.9477863,15121,500.0
1695457499.4792333,15161,500.0
1695458099.674236,15261,500.0
1695458220.270084,15281,500.0
1695458341.613289,15301,500.0
1695458699.8466365,15361,500.0
1695458821.2071197,15381,500.0
