Wall time,Step,Value
1697350536.7800555,1,-0.9895757436752319
1697350893.0074372,61,-1.0
1697351011.2189994,81,-0.9742134213447571
1697351724.2865021,201,-0.9801890254020691
1697351842.4812636,221,-0.9856479167938232
1697352198.247005,281,-0.968375027179718
1697352317.0728273,301,-0.9715433120727539
1697352675.0217957,361,-0.9621701240539551
1697352794.0623746,381,-0.9481714963912964
1697352913.2151325,401,-0.965495765209198
1697353150.2175508,441,-0.9339463710784912
1697353267.3664804,461,-0.965421736240387
1697353624.2801883,521,-0.9771869778633118
1697353744.5066273,541,-0.9575831890106201
1697354456.537696,661,-0.9659748673439026
1697354813.107562,721,-0.9450405836105347
1697354932.2747552,741,-0.9809895753860474
1697355050.7846928,761,-0.967910885810852
1697355169.5477993,781,-0.9570203423500061
1697355288.5237505,801,-0.9313793778419495
1697356121.3887944,941,-0.904588520526886
1697356240.3774862,961,-0.9249007701873779
1697356359.0609384,981,-0.9652939438819885
1697356597.918289,1021,-0.9064028263092041
1697356716.5976627,1041,-0.9110225439071655
1697356955.8102603,1081,-0.9060857892036438
1697357313.4903834,1141,-0.9241737127304077
1697357670.1020503,1201,-0.9115135669708252
1697357788.8329122,1221,-0.9540821313858032
1697357907.45419,1241,-0.9424710869789124
1697358026.560419,1261,-0.9652407765388489
1697358265.0908616,1301,-0.9398104548454285
1697358384.1325421,1321,-0.9095633625984192
1697358503.2513037,1341,-0.937981903553009
1697358622.6060488,1361,-0.975101888179779
1697358859.439119,1401,-0.973417341709137
1697358978.84075,1421,-0.9470994472503662
1697359693.477819,1541,-0.932277262210846
1697359930.7245245,1581,-0.991052508354187
1697360049.938804,1601,-0.9709050059318542
1697360288.264397,1641,-0.9207249879837036
1697360406.8649907,1661,-0.9652601480484009
1697360643.927521,1701,-0.9545108675956726
1697361120.6590164,1781,-0.841031551361084
1697361240.1495185,1801,-0.8472959399223328
1697361835.7323148,1901,-0.6016011238098145
1697362310.782909,1981,-0.7775428891181946
1697362429.8751073,2001,-0.7634294033050537
1697362786.4431064,2061,-0.5753177404403687
1697363143.3276794,2121,-0.5888180136680603
1697363262.6580389,2141,-0.7159664630889893
1697363500.7901883,2181,-0.5741496682167053
1697364094.59922,2281,-0.6518447995185852
1697364332.2848895,2321,-0.7345502972602844
1697364926.5633624,2421,-0.9553907513618469
1697365402.616538,2501,-1.0
1697365521.309663,2521,-0.9955743551254272
1697365758.7996,2561,-0.9664459228515625
1697365996.5150397,2601,-0.9826200604438782
1697366115.5154114,2621,-0.9693977236747742
1697366234.4248683,2641,-0.9801990985870361
1697366708.5058157,2721,-0.982953667640686
1697366827.5636797,2741,-0.9961823225021362
1697367539.9149346,2861,-0.9798782467842102
1697367658.6069207,2881,-0.9953942894935608
1697367896.3235095,2921,-0.9482457637786865
1697368015.255237,2941,-0.9892074465751648
1697368372.4282606,3001,-0.9000110030174255
1697369205.8712726,3141,-0.5389673709869385
1697369442.323645,3181,-0.8801929950714111
1697369561.4817772,3201,-0.6829648017883301
1697369799.488652,3241,-0.5216478705406189
1697370036.923021,3281,-0.681403636932373
1697370275.4520824,3321,-0.7780925035476685
1697370750.2669778,3401,-0.5555703043937683
1697370868.5466158,3421,-0.5973719954490662
1697370987.8594527,3441,-0.5890187621116638
1697371345.1818242,3501,-0.4371107816696167
1697371463.6201108,3521,-0.3450334668159485
1697371581.9164839,3541,-0.4553801417350769
1697371700.1624866,3561,-0.4049762189388275
1697371938.0619235,3601,-0.30221328139305115
1697372057.464326,3621,-0.39694690704345703
1697372414.438683,3681,-0.35633474588394165
1697372533.5735354,3701,-0.18829776346683502
1697372650.3373828,3721,-0.4477323293685913
1697373008.3437521,3781,-0.2498670369386673
1697373127.645001,3801,-0.28091365098953247
1697373246.5024188,3821,-0.2170853167772293
1697373365.7733417,3841,-0.2715301513671875
1697373722.132348,3901,-0.4043167531490326
1697374200.01172,3981,-0.1512850970029831
1697374317.9431665,4001,-0.13750788569450378
1697374556.5739625,4041,-0.2137310802936554
1697374674.5902684,4061,-0.2087392359972
1697374793.5324433,4081,-0.2922484576702118
1697374912.4249663,4101,-0.3234799802303314
1697375150.4966283,4141,-0.40790027379989624
1697375388.93444,4181,-0.5054855346679688
1697375626.3468425,4221,-0.5012284517288208
1697375864.611737,4261,-0.5766298174858093
1697376104.2278817,4301,-0.48474249243736267
1697376223.6539633,4321,-0.4223187565803528
1697376463.913291,4361,-0.23909059166908264
1697376584.1552236,4381,-0.39831575751304626
1697376704.0915313,4401,-0.4088113009929657
1697376823.8672347,4421,-0.286880224943161
1697376943.5409331,4441,-0.13514965772628784
1697377182.0542326,4481,-0.3433249294757843
1697377301.3051379,4501,-0.3198397159576416
1697377776.9558463,4581,-0.12315397709608078
1697378491.0125368,4701,-0.15194310247898102
1697378730.2004368,4741,-0.2787795662879944
1697378850.3257291,4761,-0.21165379881858826
1697378969.5277762,4781,-0.06351704895496368
1697379208.7040071,4821,-0.286676287651062
1697379327.952474,4841,-0.23993106186389923
1697379565.93064,4881,-0.0036541963927447796
1697379685.1859734,4901,-0.12395966798067093
1697379804.2002401,4921,-0.09845194220542908
1697379922.6095572,4941,-0.09782864153385162
1697380518.8040242,5041,-0.08206550776958466
1697380637.6840866,5061,0.1274414360523224
1697380757.3393052,5081,-0.04816964641213417
1697381116.1057615,5141,-0.25981754064559937
1697381235.5540695,5161,-0.18138113617897034
1697381355.2650266,5181,-0.3679424226284027
1697381474.6565301,5201,-0.5511510968208313
1697381714.0562642,5241,-0.3394385874271393
1697382669.19045,5401,-0.43746665120124817
1697382789.5069947,5421,-0.48281174898147583
1697383146.8919425,5481,-0.5382301807403564
1697383266.6219194,5501,-0.5516201257705688
1697383386.2552145,5521,-0.5026201605796814
1697383625.439475,5561,-0.5265045166015625
1697383864.410482,5601,-0.6961522102355957
1697384102.6685398,5641,-0.43665558099746704
1697384222.0292873,5661,-0.18216754496097565
1697384461.6883192,5701,-0.5579851269721985
1697384702.7231066,5741,-0.2004748284816742
1697384821.7880578,5761,-0.23864945769309998
1697385060.4839764,5801,-0.4685768783092499
1697385644.777789,5901,-0.4704711437225342
1697385761.4045177,5921,-0.06772156059741974
1697385877.1232142,5941,-0.1314103603363037
1697385995.7836928,5961,-0.23886623978614807
1697386697.5444617,6081,0.25090306997299194
1697386930.2800553,6121,0.3674505650997162
1697387161.968747,6161,0.2600661516189575
1697387278.7432225,6181,0.03453463315963745
1697387626.341046,6241,0.3953494131565094
1697387742.3964064,6261,0.17848923802375793
1697388092.0190914,6321,0.3932919204235077
1697388325.6432831,6361,0.29499688744544983
1697388441.3751056,6381,0.45502373576164246
1697388792.0666337,6441,0.7071672081947327
1697389025.4935687,6481,0.4557633101940155
1697389606.6993876,6581,0.4582456648349762
1697389722.0230477,6601,0.44864702224731445
1697389838.3823166,6621,0.4909738600254059
1697389953.796477,6641,0.7115070819854736
1697390535.4258099,6741,0.28271979093551636
1697390650.3403766,6761,0.13785523176193237
1697390885.509619,6801,0.45890480279922485
1697391230.924074,6861,0.4030211567878723
1697391348.7407196,6881,0.37539687752723694
1697391466.9439812,6901,0.23741944134235382
1697391583.4101722,6921,0.34900617599487305
1697391816.5906348,6961,0.4760030210018158
1697392049.5760117,7001,0.5846330523490906
1697392285.576604,7041,0.4778466522693634
1697392403.367612,7061,0.44326552748680115
1697392520.606046,7081,0.4421764612197876
1697392988.5256178,7161,0.5396767854690552
1697393219.300289,7201,0.725365161895752
1697393451.694173,7241,0.5221240520477295
1697393568.744653,7261,0.6169600486755371
1697393684.5975978,7281,0.5291227698326111
1697393799.6616342,7301,0.5085788369178772
1697393915.892695,7321,0.5586583614349365
1697394031.9720714,7341,0.5809982419013977
1697394147.260226,7361,0.5920586585998535
1697394848.5257883,7481,0.6029307842254639
1697395197.811614,7541,0.6559491753578186
1697395313.6405566,7561,0.6462538838386536
1697396127.9405656,7701,0.668008029460907
1697396245.3230498,7721,0.6960663199424744
1697396713.234943,7801,0.5307561159133911
1697396830.109326,7821,0.6677085161209106
1697396945.8296862,7841,0.7487688660621643
1697397062.7908282,7861,0.786289632320404
1697397179.8561594,7881,0.6843855381011963
1697397296.1067288,7901,0.69547039270401
1697397412.5899875,7921,0.7117929458618164
1697397529.3515792,7941,0.8898827433586121
1697397646.2274647,7961,0.8545688986778259
1697397763.0638232,7981,0.8067147731781006
1697397996.7363439,8021,0.8491051197052002
1697398114.2734127,8041,0.8004859685897827
1697398346.3398366,8081,0.6889121532440186
1697398814.408001,8161,0.6996511220932007
1697398930.7112787,8181,0.7927883267402649
1697399277.8533645,8241,0.812852680683136
1697399395.792471,8261,0.8608991503715515
1697399511.3774981,8281,0.7577692866325378
1697399628.8537574,8301,0.7978256940841675
1697399978.4839602,8361,0.9108256697654724
1697400332.0118823,8421,0.9596229791641235
1697400449.3220348,8441,0.9610462784767151
1697400799.4546201,8501,1.019339919090271
1697400914.1693501,8521,1.0383028984069824
1697401380.4718075,8601,0.8428296446800232
1697401495.8717542,8621,0.9457224607467651
1697401845.2822485,8681,1.1717344522476196
1697401960.8380835,8701,1.0347657203674316
1697402078.059478,8721,1.1713485717773438
1697402195.7958875,8741,1.1446454524993896
1697402312.4085312,8761,1.1196472644805908
1697402429.062879,8781,1.1588761806488037
1697402545.7341979,8801,1.1334896087646484
1697402662.4745028,8821,1.084155797958374
1697402896.9760206,8861,1.2465810775756836
1697403013.3063452,8881,0.983875572681427
1697403129.7228658,8901,0.9073446989059448
1697403245.7381313,8921,1.181917667388916
1697403713.0344074,9001,1.1237660646438599
1697403828.4544845,9021,0.9613121747970581
1697403945.9621406,9041,1.132013201713562
1697404061.5461476,9061,0.8583009839057922
1697404177.5931327,9081,0.9233488440513611
1697404409.8432791,9121,0.9037931561470032
1697404642.6659992,9161,0.9557538628578186
1697404875.7978802,9201,1.1624068021774292
1697404990.6801744,9221,1.1726746559143066
1697405341.233432,9281,1.4115891456604004
1697405459.0219653,9301,1.3576725721359253
1697405576.0211701,9321,1.165637493133545
1697405807.53884,9361,1.2745475769042969
1697406041.7534645,9401,1.1776232719421387
1697406506.1650803,9481,1.3193458318710327
1697406621.7767465,9501,1.314815878868103
1697406971.2643404,9561,1.3992136716842651
1697407087.3254385,9581,0.9583271741867065
1697407203.4348645,9601,1.0320680141448975
1697407319.372673,9621,0.925110936164856
1697407435.7590969,9641,0.9460669159889221
1697407552.2404215,9661,1.1096535921096802
1697407669.7720585,9681,1.2615039348602295
1697407903.5764272,9721,1.0361793041229248
1697408019.9897127,9741,1.043920636177063
1697408136.6536424,9761,0.8556698560714722
1697408252.5089638,9781,0.9456835389137268
1697408487.3818598,9821,1.1233755350112915
1697408841.0130737,9881,1.1137751340866089
1697409307.4672081,9961,1.1817858219146729
1697409658.3286843,10021,1.0394257307052612
1697409772.733366,10041,0.7193426489830017
