Wall time,Step,Value
1695366401.0619946,1,-1.0
1695366758.143023,61,-1.0
1695366876.9803941,81,-0.9972915649414062
1695367589.3050888,201,-0.9911683201789856
1695367708.452856,221,-1.0
1695368065.2777178,281,-1.0
1695368184.2932508,301,-0.9945841431617737
1695368541.4741242,361,-0.9855002164840698
1695368659.983153,381,-0.99434494972229
1695368779.075961,401,-1.0
1695369017.0847356,441,-0.9945490956306458
1695369136.8326712,461,-0.9912206530570984
1695369495.3225188,521,-0.9914840459823608
1695369615.5561013,541,-0.9888249039649963
1695370333.747127,661,-0.991221010684967
1695370691.5267484,721,-0.9915382266044617
1695370812.235365,741,-0.9802703261375427
1695370932.1857734,761,-0.981003999710083
1695371052.5802312,781,-0.9708024263381958
1695371172.865364,801,-0.988836944103241
1695372012.1841266,941,-0.9943733215332031
1695372132.361593,961,-0.9854283332824707
1695372251.5502028,981,-0.9765534400939941
1695372491.11155,1021,-0.9912113547325134
1695372609.781709,1041,-0.9881383776664734
1695372850.6438782,1081,-0.9972681403160095
1695373212.3506064,1141,-0.9887380599975586
1695373572.3173392,1201,-1.0
1695373692.6112192,1221,-0.9936771988868713
1695373812.779455,1241,-0.9841305017471313
1695373932.9150925,1261,-1.0
1695374174.181026,1301,-0.9880478382110596
1695374294.8963265,1321,-0.9891199469566345
1695374415.4895725,1341,-0.9942260980606079
1695374536.9027464,1361,-1.0
1695374776.793387,1401,-0.9954979419708252
1695374897.554667,1421,-0.9896909594535828
1695375619.6921043,1541,-0.9939518570899963
1695375861.363335,1581,-0.9938971400260925
1695375981.6114838,1601,-0.9920477271080017
1695376223.5877135,1641,-1.0
1695376344.2175832,1661,-1.0
1695376585.165574,1701,-0.9971168637275696
1695377068.8403487,1781,-1.0
1695377189.5174258,1801,-0.9961565732955933
1695377790.0413086,1901,-1.0
1695378271.8867207,1981,-1.0
1695378393.1344187,2001,-1.0
1695378754.970769,2061,-1.0
1695379116.6595433,2121,-0.9869714379310608
1695379237.415144,2141,-1.0
1695379477.6118624,2181,-0.9973052740097046
1695380077.8884513,2281,-1.0
1695380318.1606925,2321,-1.0
1695380921.8220856,2421,-1.0
1695381406.1297743,2501,-1.0
1695381526.6528091,2521,-1.0
1695381767.24362,2561,-1.0
1695382007.806355,2601,-1.0
1695382128.4725602,2621,-1.0
1695382248.8633869,2641,-1.0
1695382729.1640909,2721,-0.9963603615760803
1695382850.3945367,2741,-1.0
1695383574.6827092,2861,-0.9870525598526001
1695383695.9835267,2881,-1.0
1695383937.1160827,2921,-1.0
1695384057.7900226,2941,-1.0
1695384420.4196513,3001,-1.0
1695385268.2893813,3141,-0.9921965599060059
1695385509.897916,3181,-1.0
1695385631.40105,3201,-1.0
1695385873.529331,3241,-1.0
1695386115.208003,3281,-0.9960314631462097
1695386356.22213,3321,-1.0
1695386840.8159487,3401,-1.0
1695386962.5792246,3421,-1.0
1695387083.6161313,3441,-1.0
1695387447.6372457,3501,-1.0
1695387569.0996625,3521,-1.0
1695387690.719712,3541,-1.0
1695387811.1971366,3561,-1.0
1695388052.9516647,3601,-1.0
1695388174.7736573,3621,-1.0
1695388537.3722773,3681,-1.0
1695388659.0857546,3701,-1.0
1695388779.7985656,3721,-1.0
1695389143.9339046,3781,-1.0
1695389264.9507425,3801,-1.0
1695389385.4051309,3821,-1.0
1695389506.7583911,3841,-1.0
1695389869.62935,3901,-1.0
1695390353.1558802,3981,-1.0
1695390474.4619584,4001,-0.9937955141067505
1695390716.3705099,4041,-1.0
1695390837.7838864,4061,-1.0
1695390958.6641808,4081,-1.0
1695391080.328065,4101,-1.0
1695391322.345655,4141,-0.9973040819168091
1695391565.1946077,4181,-1.0
1695391807.0782728,4221,-0.9973012208938599
1695392049.544777,4261,-1.0
1695392292.5023487,4301,-1.0
1695392413.6907933,4321,-1.0
1695392656.297663,4361,-1.0
1695392776.9635513,4381,-1.0
1695392898.1604714,4401,-1.0
1695393019.8257735,4421,-1.0
1695393140.2953703,4441,-1.0
1695393381.527453,4481,-1.0
1695393503.0170379,4501,-1.0
1695393987.0487213,4581,-1.0
1695394711.391884,4701,-1.0
1695394949.9190664,4741,-1.0
1695395070.1617935,4761,-1.0
1695395190.701558,4781,-1.0
1695395432.199991,4821,-1.0
1695395553.3429313,4841,-0.9953992366790771
1695395794.2062109,4881,-1.0
1695395915.698078,4901,-1.0
1695396036.0358322,4921,-1.0
1695396156.4701936,4941,-1.0
1695396757.3142073,5041,-1.0
1695396878.0403595,5061,-1.0
1695396998.7482767,5081,-1.0
1695397359.9592745,5141,-1.0
1695397480.8801758,5161,-1.0
1695397602.2310646,5181,-1.0
1695397722.3053355,5201,-1.0
1695397964.312788,5241,-1.0
1695398931.2265644,5401,-1.0
1695399051.038951,5421,-1.0
1695399412.2160037,5481,-1.0
1695399533.432568,5501,-1.0
1695399654.418995,5521,-1.0
1695399896.434676,5561,-1.0
1695400136.1866424,5601,-1.0
1695400377.053881,5641,-1.0
1695400496.9672043,5661,-0.9969311356544495
1695400738.3867536,5701,-1.0
1695400980.1568007,5741,-0.9973002672195435
1695401100.7551494,5761,-0.9971997141838074
1695401341.4882739,5801,-1.0
1695401941.3031335,5901,-1.0
1695402060.5455124,5921,-0.988125205039978
1695402180.8453615,5941,-0.9945927858352661
1695402300.808363,5961,-0.9969518780708313
1695403015.527152,6081,-0.99723219871521
1695403254.8553576,6121,-1.0
1695403493.8336883,6161,-0.9943259954452515
1695403613.6526072,6181,-1.0
1695403973.9026632,6241,-0.987368106842041
1695404093.8493247,6261,-1.0
1695404453.096727,6321,-0.9972925186157227
1695404691.690356,6361,-1.0
1695404811.529998,6381,-1.0
1695405171.7116761,6441,-1.0
1695405412.1049004,6481,-1.0
1695406011.109553,6581,-1.0
1695406129.547374,6601,-1.0
1695406249.87214,6621,-1.0
1695406369.5435402,6641,-1.0
1695406968.5329363,6741,-0.9972048997879028
1695407088.5563734,6761,-1.0
1695407326.4652283,6801,-1.0
1695407686.4207628,6861,-1.0
1695407805.9800425,6881,-1.0
1695407926.3829756,6901,-1.0
1695408046.858971,6921,-0.9971416592597961
1695408286.5952508,6961,-0.9826738238334656
1695408527.6968007,7001,-1.0
1695408767.1202872,7041,-1.0
1695408887.4631362,7061,-1.0
1695409006.9014463,7081,-1.0
1695409486.0115826,7161,-1.0
1695409725.6606123,7201,-1.0
1695409966.1719346,7241,-1.0
1695410086.4512205,7261,-0.9972831606864929
1695410207.878274,7281,-1.0
1695410325.8425882,7301,-1.0
1695410446.1500132,7321,-1.0
1695410565.942875,7341,-1.0
1695410686.8903537,7361,-1.0
1695411406.7180889,7481,-1.0
1695411765.3350053,7541,-1.0
1695411885.4198546,7561,-1.0
1695412722.8875856,7701,-1.0
1695412842.4027262,7721,-1.0
1695413323.9883819,7801,-0.994288444519043
1695413444.5309863,7821,-1.0
1695413564.211746,7841,-1.0
1695413681.6871603,7861,-1.0
1695413802.094771,7881,-1.0
1695413922.8857443,7901,-1.0
1695414043.4690568,7921,-1.0
1695414162.8484347,7941,-0.995762825012207
1695414282.0673766,7961,-1.0
1695414401.7597888,7981,-1.0
1695414642.473353,8021,-1.0
1695414762.5006468,8041,-1.0
1695415001.3708484,8081,-1.0
1695415480.6573343,8161,-1.0
1695415599.9072802,8181,-1.0
1695415961.8736792,8241,-1.0
1695416081.7992907,8261,-1.0
1695416201.6843376,8281,-1.0
1695416321.2369874,8301,-1.0
1695416681.1058502,8361,-0.9959579110145569
1695417040.274601,8421,-1.0
1695417159.9251335,8441,-1.0
1695417519.0456715,8501,-1.0
1695417638.927336,8521,-1.0
1695418118.3079119,8601,-1.0
1695418238.5493205,8621,-1.0
1695418598.4800491,8681,-1.0
1695418718.7140749,8701,-0.9931557774543762
1695418838.7444928,8721,-1.0
1695418958.9534876,8741,-1.0
1695419078.9784284,8761,-1.0
1695419199.7291896,8781,-1.0
1695419320.6976016,8801,-1.0
1695419441.210154,8821,-1.0
1695419680.41872,8861,-1.0
1695419800.1587436,8881,-1.0
1695419920.161804,8901,-1.0
1695420040.3957312,8921,-1.0
1695420520.6811485,9001,-1.0
1695420641.2291276,9021,-1.0
1695420761.3470829,9041,-1.0
1695420879.8541975,9061,-1.0
1695420998.6516995,9081,-1.0
1695421237.5234149,9121,-1.0
1695421477.435645,9161,-1.0
1695421718.3661685,9201,-1.0
1695421838.2310994,9221,-1.0
1695422199.3039012,9281,-1.0
1695422319.6336277,9301,-1.0
1695422440.513751,9321,-1.0
1695422679.0596907,9361,-1.0
1695422919.4331658,9401,-1.0
1695423398.873561,9481,-1.0
1695423516.3289375,9501,-1.0
1695423877.4505692,9561,-1.0
1695423998.5365841,9581,-1.0
1695424118.6482584,9601,-1.0
1695424239.1223342,9621,-1.0
1695424359.3949363,9641,-1.0
1695424480.0577655,9661,-1.0
1695424600.0176659,9681,-1.0
1695424839.6486528,9721,-1.0
1695424958.412347,9741,-0.9944751262664795
1695425079.0663009,9761,-1.0
1695425198.7758708,9781,-1.0
1695425437.9993963,9821,-1.0
1695425797.2729015,9881,-1.0
1695426274.0821655,9961,-1.0
1695426634.741069,10021,-1.0
1695426754.885534,10041,-1.0
1695426875.7595868,10061,-1.0
1695427234.128968,10121,-1.0
1695427473.8664398,10161,-1.0
1695427592.543107,10181,-1.0
1695427712.327273,10201,-1.0
1695427831.5722163,10221,-1.0
1695427951.5023408,10241,-1.0
1695428072.2847693,10261,-1.0
1695428192.2090812,10281,-1.0
1695428553.0863314,10341,-1.0
1695428673.1996386,10361,-1.0
1695428793.7082305,10381,-1.0
1695428914.1365345,10401,-1.0
1695429272.581512,10461,-1.0
1695430108.0770133,10601,-1.0
1695430468.4045415,10661,-1.0
1695430589.3749669,10681,-1.0
1695430828.2614133,10721,-0.9903183579444885
1695430947.1924338,10741,-1.0
1695431067.358697,10761,-1.0
1695431185.8403542,10781,-1.0
1695431306.2176924,10801,-1.0
1695431546.1252196,10841,-1.0
1695431665.8815153,10861,-1.0
1695431785.717446,10881,-1.0
1695432025.9092207,10921,-1.0
1695432145.8781548,10941,-1.0
1695432505.6238103,11001,-0.9964063167572021
1695432743.8621795,11041,-1.0
1695432982.966428,11081,-1.0
1695433103.0898733,11101,-1.0
1695433223.5958922,11121,-1.0
1695433941.3526754,11241,-1.0
1695434060.7289522,11261,-1.0
1695434181.329704,11281,-1.0
1695434660.5632699,11361,-1.0
1695435020.2153583,11421,-1.0
1695435260.0215907,11461,-1.0
1695435615.1124313,11521,-1.0
1695436093.2853603,11601,-1.0
1695436572.2438416,11681,-1.0
1695436692.569512,11701,-1.0
1695436812.3679488,11721,-1.0
1695437050.8434157,11761,-1.0
1695437291.6303241,11801,-1.0
1695437412.0042338,11821,-0.9969668388366699
1695437532.1216063,11841,-1.0
1695437770.5932035,11881,-1.0
1695438010.862338,11921,-1.0
1695438130.470907,11941,-1.0
1695438250.7618754,11961,-0.9941269755363464
1695438369.7287898,11981,-1.0
1695438609.2412338,12021,-1.0
1695438730.3352318,12041,-1.0
1695438848.86817,12061,-1.0
1695439089.168291,12101,-1.0
1695439449.4551036,12161,-1.0
1695439690.6040742,12201,-0.9972015023231506
1695440051.4898198,12261,-1.0
1695440171.014391,12281,-1.0
1695440412.332911,12321,-1.0
1695440654.0890038,12361,-0.9960616230964661
1695440895.2100592,12401,-1.0
1695441137.0957983,12441,-1.0
1695441257.5240977,12461,-1.0
1695441618.6600957,12521,-1.0
1695441860.966816,12561,-1.0
1695441981.4566019,12581,-1.0
1695442463.3632631,12661,-1.0
1695442705.120233,12701,-1.0
1695442947.216181,12741,-0.9966780543327332
1695443307.4721496,12801,-1.0
1695443427.8491113,12821,-1.0
1695443548.3551972,12841,-1.0
1695443668.613855,12861,-1.0
1695443789.7230928,12881,-1.0
1695443908.9406564,12901,-1.0
1695444389.9350986,12981,-1.0
1695444630.2894967,13021,-0.9969606995582581
1695444751.492453,13041,-1.0
1695444871.640421,13061,-1.0
1695444991.7996523,13081,-1.0
1695445110.2392788,13101,-1.0
1695445472.93239,13161,-0.9968646168708801
1695445594.196339,13181,-1.0
1695445713.8880703,13201,-1.0
1695446560.3799224,13341,-1.0
1695446923.0085397,13401,-1.0
1695447525.3580754,13501,-0.9972795844078064
1695447645.3986602,13521,-0.9969056844711304
1695447764.3302581,13541,-1.0
1695448124.4246657,13601,-1.0
1695448363.401071,13641,-1.0
1695448483.273932,13661,-1.0
1695448604.451124,13681,-1.0
1695448965.0727203,13741,-0.9967065453529358
1695449564.9285758,13841,-1.0
1695449803.319743,13881,-1.0
1695449923.8320856,13901,-1.0
1695450043.844427,13921,-1.0
1695450163.395809,13941,-1.0
1695450403.5647733,13981,-1.0
1695450761.244125,14041,-1.0
1695450881.491961,14061,-1.0
1695451122.756544,14101,-1.0
1695451602.7374744,14181,-1.0
1695451722.9525979,14201,-1.0
1695451964.1200216,14241,-1.0
1695452324.7885962,14301,-1.0
1695452566.0008674,14341,-1.0
1695452806.2249312,14381,-1.0
1695452926.57024,14401,-1.0
1695453045.9241755,14421,-1.0
1695453285.7681441,14461,-1.0
1695453527.1005666,14501,-1.0
1695453647.5526078,14521,-1.0
1695453768.1918309,14541,-1.0
1695453889.5177977,14561,-1.0
1695454010.2305005,14581,-1.0
1695454251.7740119,14621,-1.0
1695454372.6315126,14641,-1.0
1695454491.8179126,14661,-1.0
1695455093.8675628,14761,-1.0
1695455214.412163,14781,-1.0
1695455334.8801079,14801,-1.0
1695455576.7189238,14841,-1.0
1695455697.0570428,14861,-1.0
1695455816.6791072,14881,-1.0
1695455937.2518237,14901,-1.0
1695456778.053768,15041,-1.0
1695457139.7251384,15101,-1.0
1695457258.94773,15121,-1.0
1695457499.4785173,15161,-1.0
1695458099.674192,15261,-1.0
1695458220.2700362,15281,-1.0
1695458341.613237,15301,-1.0
1695458699.8466012,15361,-1.0
1695458821.2070556,15381,-1.0
1695459183.027369,15441,-1.0
1695459302.7175128,15461,-1.0
1695459541.2917407,15501,-1.0
1695459660.271014,15521,-1.0
1695459899.6127613,15561,-1.0
1695460019.5106006,15581,-1.0
1695460140.047865,15601,-1.0
1695460259.79893,15621,-1.0
1695460379.328915,15641,-1.0
1695461101.6764863,15761,-1.0
1695461221.5247142,15781,-1.0
1695461463.6372092,15821,-1.0
1695461705.2749581,15861,-0.9971643090248108
1695461946.5268261,15901,-1.0
1695462066.2891371,15921,-1.0
1695462429.5983882,15981,-1.0
1695462550.697366,16001,-1.0
1695463033.2449238,16081,-1.0
1695463154.4800162,16101,-0.9966984987258911
1695463275.3620074,16121,-1.0
1695463395.2343616,16141,-1.0
1695463756.4173594,16201,-0.993554413318634
1695464117.111327,16261,-1.0
1695464718.6656036,16361,-1.0
1695464839.504278,16381,-1.0
1695465080.125493,16421,-1.0
1695465200.2726512,16441,-1.0
1695465321.0282862,16461,-1.0
1695465562.7184737,16501,-1.0
1695465679.2141783,16521,-1.0
1695465799.8379085,16541,-1.0
