Wall time,Step,Value
1694527697.8239563,1,500.0
1694527816.8773863,21,500.0
1694527935.3958626,41,500.0
1694528054.6010864,61,500.0
1694528173.4442353,81,500.0
1694528292.140173,101,500.0
1694528411.2894602,121,500.0
1694528530.2199714,141,500.0
1694528650.3124907,161,500.0
1694528769.6752443,181,500.0
1694528888.6038601,201,500.0
1694529007.8694963,221,500.0
1694529127.082068,241,500.0
1694529246.230833,261,500.0
1694529365.5718412,281,500.0
1694529483.7400641,301,500.0
1694529603.4999282,321,500.0
1694529722.9007776,341,500.0
1694529842.184874,361,500.0
1694529961.9066107,381,500.0
1694530081.442889,401,500.0
1694530201.7912836,421,500.0
1694530321.4075234,441,500.0
1694530440.7814052,461,500.0
1694530561.2914364,481,500.0
1694530681.3013077,501,500.0
1694530801.0053196,521,500.0
1694530921.5871992,541,500.0
1694531041.084948,561,500.0
1694531160.4567115,581,500.0
1694531280.3476024,601,500.0
1694531400.541606,621,500.0
1694531517.45824,641,500.0
1694531636.4622948,661,500.0
1694531756.608684,681,500.0
1694531875.9032712,701,500.0
1694531995.7304971,721,500.0
1694532115.3625116,741,500.0
1694532235.2170818,761,500.0
1694532355.0213223,781,500.0
1694532474.5328174,801,500.0
1694532594.1444395,821,500.0
1694532713.8711278,841,500.0
1694532833.6610882,861,500.0
1694532952.5166118,881,500.0
1694533072.4190698,901,500.0
1694533191.8120172,921,500.0
1694533311.8507168,941,500.0
1694533431.2689416,961,500.0
1694533550.7080348,981,500.0
1694533668.3661878,1001,500.0
1694533786.5729086,1021,500.0
1694533905.7493458,1041,500.0
1694534026.5007114,1061,500.0
1694534146.3268628,1081,499.91357421875
1694534266.6215618,1101,500.0
1694534386.1748242,1121,499.0604248046875
1694534505.0830016,1141,500.0
1694534624.757303,1161,500.0
1694534744.163247,1181,500.0
1694534864.2178943,1201,500.0
1694534984.202045,1221,500.0
1694535104.249256,1241,500.0
1694535223.0724285,1261,500.0
1694535343.12278,1281,500.0
1694535463.3789847,1301,500.0
1694535583.032749,1321,500.0
1694535702.1159542,1341,500.0
1694535821.5198689,1361,500.0
1694535942.394327,1381,500.0
1694536062.2084928,1401,500.0
1694536181.9221773,1421,500.0
1694536302.4517598,1441,500.0
1694536422.8158405,1461,500.0
1694536543.2315564,1481,498.7826232910156
1694536660.2384672,1501,500.0
1694536780.4270473,1521,500.0
1694536901.2195141,1541,500.0
1694537020.5568895,1561,500.0
1694537141.594355,1581,500.0
1694537262.1697345,1601,500.0
1694537382.859212,1621,500.0
1694537503.7200158,1641,500.0
1694537624.336133,1661,500.0
1694537746.0383222,1681,500.0
1694537868.1235235,1701,500.0
1694537991.458148,1721,500.0
1694538113.194253,1741,500.0
1694538232.8150964,1761,500.0
1694538354.619834,1781,500.0
1694538476.3455553,1801,500.0
1694538598.3839874,1821,500.0
1694538719.0975983,1841,500.0
1694538842.053762,1861,500.0
1694538962.5668979,1881,500.0
1694539082.9910142,1901,500.0
1694539203.6864994,1921,500.0
1694539323.9712932,1941,500.0
1694539443.7987158,1961,500.0
1694539564.4840357,1981,500.0
1694539683.562373,2001,500.0
1694539804.6855168,2021,500.0
1694539925.3175044,2041,500.0
1694540045.2523847,2061,500.0
1694540165.1869743,2081,500.0
1694540286.2562587,2101,500.0
1694540406.4840899,2121,500.0
1694540526.5752046,2141,500.0
1694540647.2888339,2161,500.0
1694540767.2352045,2181,500.0
1694540887.7393014,2201,500.0
1694541008.2306314,2221,500.0
1694541128.9433796,2241,500.0
1694541250.6409783,2261,500.0
1694541371.1995482,2281,500.0
1694541492.7021594,2301,500.0
1694541613.407609,2321,500.0
1694541733.8863363,2341,500.0
1694541854.004929,2361,500.0
1694541975.377168,2381,500.0
1694542096.167309,2401,500.0
1694542215.663246,2421,500.0
1694542335.1775029,2441,500.0
1694542456.058171,2461,500.0
1694542575.9985569,2481,500.0
