Wall time,Step,Value
1694508154.9259248,1,500.0
1694508273.890694,21,499.9619445800781
1694508392.3875108,41,500.0
1694508510.6181138,61,500.0
1694508628.6612568,81,500.0
1694508746.5997045,101,500.0
1694508865.1911583,121,500.0
1694508984.0050366,141,500.0
1694509102.7356517,161,500.0
1694509220.1880262,181,500.0
1694509338.6955564,201,500.0
1694509457.7543867,221,499.5
1694509577.210581,241,498.88043212890625
1694509695.8853326,261,500.0
1694509814.9840393,281,499.98919677734375
1694509933.1022594,301,500.0
1694510051.6469958,321,500.0
1694510171.475103,341,499.17205810546875
1694510290.6286416,361,500.0
1694510410.417647,381,498.85406494140625
1694510529.8404605,401,497.6684875488281
1694510648.5447176,421,499.89617919921875
1694510766.866155,441,500.0
1694510885.5428128,461,499.52716064453125
1694511004.753264,481,500.0
1694511124.3237772,501,500.0
1694511244.109883,521,499.0215148925781
1694511363.6672914,541,499.89617919921875
1694511483.241823,561,500.0
1694511603.6340723,581,499.9058837890625
1694511723.323159,601,499.4130554199219
1694511842.6653624,621,500.0
1694511961.015515,641,498.8955993652344
1694512080.7641995,661,499.7326354980469
1694512200.7857726,681,499.603271484375
1694512320.1214705,701,500.0
1694512440.9613001,721,499.0806579589844
1694512561.2345748,741,497.5135192871094
1694512680.9750407,761,498.52459716796875
1694512801.9547246,781,498.1015930175781
1694512922.8012137,801,497.0053405761719
1694513043.5952353,821,497.478271484375
1694513164.033917,841,499.5846862792969
1694513284.2766125,861,499.39129638671875
1694513404.8134887,881,496.8216247558594
1694513525.5248208,901,498.91534423828125
1694513646.2785246,921,500.0
1694513766.7682688,941,486.2552185058594
1694513886.441827,961,474.22796630859375
1694514007.0519779,981,499.11053466796875
1694514127.4421372,1001,496.390625
1694514248.877902,1021,492.87957763671875
1694514368.6849365,1041,481.3854064941406
1694514489.1769536,1061,479.8497314453125
1694514609.923815,1081,486.3072814941406
1694514730.4101362,1101,494.21807861328125
1694514851.2033072,1121,447.7246398925781
1694514971.7671046,1141,453.4313659667969
1694515091.8490422,1161,464.3232421875
1694515211.7116714,1181,444.25482177734375
1694515332.6014447,1201,456.3465270996094
1694515453.431973,1221,451.1813659667969
1694515573.4116542,1241,437.0769348144531
1694515693.4633079,1261,432.22381591796875
1694515813.2216456,1281,450.0742492675781
1694515932.6044557,1301,450.8963623046875
1694516051.8598793,1321,433.4038391113281
1694516172.2535794,1341,439.8495178222656
1694516292.4343684,1361,432.5
1694516412.6979237,1381,446.5671691894531
1694516533.737446,1401,470.1573486328125
1694516653.372827,1421,437.4519348144531
1694516773.8132544,1441,479.30364990234375
1694516893.4266624,1461,480.8359680175781
1694517013.4449031,1481,484.8138427734375
1694517133.22375,1501,453.6584167480469
1694517253.6065936,1521,461.80303955078125
1694517373.9808393,1541,470.4947814941406
1694517493.3818417,1561,470.1727600097656
1694517613.2456896,1581,463.3282775878906
1694517731.8800147,1601,487.15216064453125
1694517853.0962012,1621,470.953369140625
1694517973.943937,1641,463.48223876953125
1694518095.0591586,1661,471.8238220214844
1694518214.8461154,1681,441.1470642089844
1694518333.9294152,1701,426.0047302246094
1694518454.1046774,1721,480.01605224609375
1694518575.0090132,1741,382.68487548828125
1694518695.659232,1761,399.52838134765625
1694518815.2888181,1781,318.1549377441406
1694518936.1049914,1801,386.63134765625
1694519057.1691127,1821,361.8972473144531
1694519177.9371285,1841,392.0683898925781
1694519298.6077375,1861,414.2133483886719
1694519418.3193467,1881,413.0090637207031
1694519539.4901402,1901,321.0812683105469
1694519659.7052054,1921,353.921875
1694519780.2791326,1941,377.312744140625
1694519900.117972,1961,369.1755065917969
1694520020.4505236,1981,266.875
1694520142.3303893,2001,253.6089324951172
1694520262.592996,2021,303.88775634765625
1694520383.1331255,2041,230.16966247558594
1694520504.0426066,2061,294.7993469238281
1694520625.825936,2081,266.4371337890625
1694520747.8836923,2101,216.11163330078125
1694520866.9206514,2121,251.1690216064453
1694520987.8998008,2141,179.7943572998047
1694521108.423345,2161,252.4583282470703
1694521230.5202274,2181,177.43275451660156
1694521350.6793177,2201,177.6896514892578
1694521472.142184,2221,214.0928497314453
1694521593.4935665,2241,254.95518493652344
1694521714.4887035,2261,158.00894165039062
1694521835.9808855,2281,203.4592742919922
1694521957.834215,2301,197.74671936035156
1694522079.2675164,2321,165.6226806640625
1694522200.2754767,2341,177.34054565429688
1694522319.9510684,2361,152.53309631347656
1694522441.779535,2381,122.02083587646484
1694522561.0825753,2401,193.03070068359375
1694522682.4890964,2421,137.18710327148438
1694522803.756991,2441,137.2154998779297
1694522925.0338001,2461,156.8835906982422
1694523047.578267,2481,126.32524871826172
1694523167.7037911,2501,210.9952392578125
1694523288.7661638,2521,187.32984924316406
1694523410.5031767,2541,143.58200073242188
1694523531.318233,2561,156.46507263183594
1694523652.7262492,2581,139.53883361816406
1694523775.3647385,2601,153.23077392578125
1694523897.6763015,2621,123.2921371459961
1694524019.8676696,2641,122.81969451904297
1694524141.640787,2661,152.5741424560547
1694524262.0412142,2681,183.71255493164062
1694524384.828737,2701,119.13520812988281
1694524507.6952245,2721,115.71428680419922
1694524631.1385198,2741,123.52925109863281
1694524754.3383858,2761,115.40234375
1694524876.2730737,2781,131.02374267578125
1694524999.033357,2801,124.65546417236328
1694525120.5913205,2821,114.56636047363281
1694525242.6645837,2841,115.1347427368164
1694525365.152457,2861,142.4249267578125
1694525486.497179,2881,203.59152221679688
1694525608.4561894,2901,188.78016662597656
1694525729.4314303,2921,179.8820037841797
1694525852.1785073,2941,135.54135131835938
1694525973.1948516,2961,118.73332977294922
1694526095.0307035,2981,146.12310791015625
1694526215.4770772,3001,239.9405059814453
