Wall time,Step,Value
1694618984.610946,1,-1.0
1694619103.684082,21,-0.9994384050369263
1694619222.3959336,41,-1.0
1694619341.6782646,61,-1.0
1694619460.4118218,81,-1.0
1694619580.1394455,101,-1.0
1694619699.5347004,121,-1.0
1694619819.1719198,141,-1.0
1694619938.3803182,161,-1.0
1694620058.3904166,181,-1.0
1694620177.3790443,201,-1.0
1694620296.9420457,221,-1.0
1694620415.5744367,241,-1.0
1694620534.7305207,261,-1.0
1694620653.3803666,281,-1.0
1694620772.594391,301,-1.0
1694620891.590816,321,-1.0
1694621011.2461226,341,-1.0
1694621130.9160535,361,-1.0
1694621250.1599014,381,-1.0
1694621370.3991408,401,-1.0
1694621489.7712097,421,-1.0
1694621608.789975,441,-1.0
1694621728.0483208,461,-1.0
1694621847.6461825,481,-1.0
1694621967.3601024,501,-1.0
1694622086.9557707,521,-1.0
1694622207.3058622,541,-1.0
1694622327.403117,561,-1.0
1694622448.0469258,581,-1.0
1694622568.5478818,601,-1.0
1694622688.5472126,621,-1.0
1694622808.6360235,641,-1.0
1694622928.9843545,661,-1.0
1694623048.9350636,681,-1.0
1694623169.4596074,701,-1.0
1694623289.4567683,721,-1.0
1694623409.1340954,741,-1.0
1694623529.9849844,761,-0.998753547668457
1694623649.6913252,781,-1.0
1694623769.1512046,801,-1.0
1694623888.8920825,821,-1.0
1694624007.8268993,841,-1.0
1694624127.6319327,861,-1.0
1694624246.7975516,881,-1.0
1694624366.5035675,901,-1.0
1694624486.1690521,921,-0.9993162751197815
1694624605.5377066,941,-1.0
1694624724.7990901,961,-1.0
1694624843.6698742,981,-1.0
1694624962.9945846,1001,-1.0
1694625082.9798682,1021,-1.0
1694625202.7805033,1041,-0.9958646893501282
1694625322.203246,1061,-1.0
1694625441.003483,1081,-1.0
1694625560.4504879,1101,-1.0
1694625680.3712611,1121,-1.0
1694625799.6846657,1141,-1.0
1694625919.3615203,1161,-1.0
1694626038.923875,1181,-1.0
1694626158.922458,1201,-1.0
1694626278.2974527,1221,-1.0
1694626397.7723076,1241,-1.0
1694626517.1591618,1261,-1.0
1694626636.4454505,1281,-1.0
1694626754.8056602,1301,-1.0
1694626874.9768062,1321,-1.0
1694626994.7887568,1341,-1.0
1694627114.6831152,1361,-1.0
1694627234.6045954,1381,-1.0
1694627354.5363898,1401,-1.0
1694627474.390483,1421,-1.0
1694627594.0808136,1441,-0.9994024038314819
1694627712.4986308,1461,-1.0
1694627831.8549237,1481,-1.0
1694627951.652069,1501,-1.0
1694628070.3148508,1521,-1.0
1694628189.9437783,1541,-1.0
1694628310.6802034,1561,-1.0
1694628430.6939263,1581,-1.0
1694628550.4561875,1601,-1.0
1694628670.534933,1621,-1.0
1694628790.0532343,1641,-1.0
1694628911.0136316,1661,-1.0
1694629030.3826814,1681,-1.0
1694629150.5250177,1701,-1.0
1694629270.4346306,1721,-1.0
1694629390.6416185,1741,-1.0
1694629510.0514696,1761,-1.0
1694629629.8151662,1781,-1.0
1694629749.2662218,1801,-1.0
1694629868.996298,1821,-1.0
1694629988.513807,1841,-1.0
1694630108.4710743,1861,-1.0
1694630228.430743,1881,-1.0
1694630346.9713917,1901,-1.0
1694630467.0037525,1921,-1.0
1694630586.5962594,1941,-1.0
1694630705.5109162,1961,-1.0
1694630824.7819893,1981,-1.0
1694630942.7007723,2001,-1.0
1694631062.5783432,2021,-1.0
1694631182.2710302,2041,-1.0
1694631302.264264,2061,-1.0
1694631422.039955,2081,-1.0
1694631541.6275547,2101,-1.0
1694631660.3798597,2121,-1.0
1694631778.873075,2141,-1.0
1694631899.1605039,2161,-1.0
1694632018.827444,2181,-1.0
1694632137.6418066,2201,-1.0
1694632256.7254019,2221,-1.0
1694632375.819064,2241,-1.0
1694632496.1440082,2261,-1.0
1694632616.1482017,2281,-1.0
1694632735.6079695,2301,-1.0
1694632856.3987322,2321,-1.0
1694632975.5505087,2341,-1.0
1694633095.4000213,2361,-1.0
1694633214.493197,2381,-1.0
1694633334.1036916,2401,-1.0
1694633452.8565085,2421,-1.0
1694633571.8861156,2441,-1.0
1694633691.1301255,2461,-1.0
1694633810.222421,2481,-1.0
1694633928.9132218,2501,-1.0
1694634048.4545362,2521,-1.0
1694634168.0338528,2541,-1.0
1694634287.196032,2561,-1.0
1694634406.1899457,2581,-1.0
1694634525.4883814,2601,-1.0
1694634645.148113,2621,-1.0
1694634763.6762984,2641,-1.0
1694634882.4744298,2661,-1.0
1694635001.4675417,2681,-1.0
1694635121.3220863,2701,-1.0
1694635240.0678604,2721,-1.0
1694635358.78868,2741,-1.0
1694635478.1673236,2761,-1.0
1694635597.1724513,2781,-1.0
1694635716.7247238,2801,-1.0
1694635835.41827,2821,-1.0
1694635954.653031,2841,-1.0
1694636074.32159,2861,-1.0
1694636193.5336466,2881,-1.0
1694636313.1203687,2901,-1.0
1694636433.0292234,2921,-1.0
1694636552.4420102,2941,-1.0
1694636671.966603,2961,-1.0
1694636790.9576771,2981,-1.0
1694636909.6271808,3001,-1.0
1694637028.7244298,3021,-1.0
1694637147.770368,3041,-1.0
1694637267.5719955,3061,-1.0
1694637387.1160731,3081,-1.0
1694637507.327995,3101,-1.0
1694637627.634994,3121,-1.0
1694637746.9738343,3141,-1.0
1694637867.2476106,3161,-1.0
1694637986.9685223,3181,-1.0
1694638106.3041954,3201,-1.0
1694638225.6522791,3221,-1.0
1694638344.7578876,3241,-1.0
1694638463.7081916,3261,-1.0
1694638582.0196457,3281,-1.0
1694638701.2695668,3301,-1.0
1694638820.7453213,3321,-1.0
1694638939.8965135,3341,-1.0
1694639059.2196229,3361,-1.0
1694639178.4445262,3381,-0.9993753433227539
1694639297.757976,3401,-1.0
1694639417.4474394,3421,-1.0
1694639537.361953,3441,-1.0
1694639657.6557062,3461,-1.0
1694639777.2676084,3481,-1.0
1694639896.461593,3501,-1.0
1694640016.3132844,3521,-1.0
1694640135.9277492,3541,-1.0
1694640254.7604578,3561,-1.0
1694640372.679512,3581,-1.0
1694640491.9275877,3601,-1.0
1694640611.124725,3621,-1.0
1694640729.315702,3641,-1.0
1694640847.917646,3661,-1.0
1694640967.6760774,3681,-1.0
1694641086.9962032,3701,-1.0
1694641206.2194257,3721,-1.0
1694641325.326216,3741,-1.0
1694641444.5045955,3761,-1.0
1694641563.8293355,3781,-1.0
1694641682.5597243,3801,-1.0
1694641802.8239357,3821,-1.0
1694641922.1405733,3841,-1.0
