Wall time,Step,Value
1693135484.2186797,1,48.0
1693135568.5994368,21,242.0
1693135652.8889906,41,434.0
1693135737.2987587,61,625.0
1693135821.8566465,81,816.0
1693135906.0956185,101,1006.0
1693135990.7619107,121,1198.0
1693136074.888398,141,1388.0
1693136159.3618577,161,1579.0
1693136244.2224696,181,1770.0
1693136328.3231196,201,1958.0
1693136412.4899263,221,2148.0
1693136497.0659435,241,2339.0
1693136581.6520267,261,2530.0
1693136666.0784009,281,2720.0
1693136750.801831,301,2910.0
1693136835.045041,321,3099.0
1693136919.8270748,341,3290.0
1693137004.3074002,361,3481.0
1693137089.086714,381,3671.0
1693137174.0084443,401,3863.0
1693137257.9414418,421,4052.0
1693137342.1380587,441,4241.0
1693137426.3298836,461,4431.0
1693137510.8307137,481,4620.0
1693137594.8460126,501,4810.0
1693137679.2424045,521,5001.0
1693137763.244043,541,5191.0
1693137847.82319,561,5377.0
1693137931.8616762,581,5568.0
1693138015.6161706,601,5758.0
1693138099.7828171,621,5949.0
1693138183.7082818,641,6138.0
1693138267.7796974,661,6328.0
1693138351.4292703,681,6517.0
1693138435.9645422,701,6709.0
1693138520.5407386,721,6897.0
1693138605.117691,741,7088.0
1693138689.4434383,761,7279.0
1693138773.7935038,781,7468.0
1693138857.5303652,801,7656.0
1693138940.923953,821,7831.0
1693139023.8205802,841,7990.0
1693139108.0477788,861,8161.0
1693139191.03251,881,8319.0
1693139274.7749887,901,8475.0
1693139359.5515792,921,8663.0
1693139443.700314,941,8849.0
1693139527.9841125,961,9033.0
1693139611.544164,981,9200.0
1693139695.3972797,1001,9384.0
1693139780.0130677,1021,9574.0
1693139864.5255878,1041,9767.0
1693139948.974672,1061,9959.0
1693140033.3031943,1081,10150.0
1693140118.087358,1101,10345.0
1693140202.857109,1121,10536.0
1693140288.3092442,1141,10731.0
1693140373.755941,1161,10925.0
1693140459.5488868,1181,11123.0
1693140544.7280278,1201,11319.0
1693140629.4431314,1221,11513.0
1693140714.145077,1241,11708.0
1693140799.513536,1261,11902.0
1693140883.601848,1281,12093.0
1693140968.1971822,1301,12283.0
1693141052.9031117,1321,12475.0
1693141137.4804115,1341,12670.0
1693141221.9394236,1361,12863.0
