Wall time,Step,Value
1692897901.0851705,1,48.0
1692897983.6567254,21,224.0
1692898067.2949789,41,416.0
1692898150.7838275,61,608.0
1692898234.9013116,81,799.0
1692898318.6417034,101,988.0
1692898402.2939835,121,1179.0
1692898485.9991994,141,1363.0
1692898570.052679,161,1555.0
1692898653.8654847,181,1741.0
1692898737.7738147,201,1934.0
1692898821.4790697,221,2124.0
1692898905.2750955,241,2313.0
1692898989.2509181,261,2505.0
1692899072.880331,281,2696.0
1692899156.5997932,301,2885.0
1692899240.394375,321,3075.0
1692899324.215085,341,3267.0
1692899407.951346,361,3458.0
1692899491.8941896,381,3649.0
1692899576.1368215,401,3841.0
1692899660.6503224,421,4034.0
1692899744.7097304,441,4225.0
1692899828.7731621,461,4414.0
1692899912.610922,481,4604.0
1692899996.6030214,501,4796.0
1692900080.839992,521,4990.0
1692900164.4387774,541,5181.0
1692900248.0530632,561,5372.0
1692900331.5661268,581,5562.0
1692900415.395632,601,5758.0
1692900499.0794427,621,5951.0
1692900582.8270419,641,6144.0
1692900666.6743853,661,6340.0
1692900751.1414292,681,6546.0
1692900835.0710633,701,6747.0
1692900918.5934203,721,6937.0
1692901002.3460197,741,7139.0
1692901086.6890364,761,7343.0
1692901170.4109325,781,7539.0
1692901254.496406,801,7746.0
1692901338.5014145,821,7949.0
1692901422.603905,841,8149.0
1692901507.3168478,861,8346.0
1692901590.1723397,881,8521.0
1692901673.9316425,901,8704.0
1692901758.8554542,921,8905.0
1692901844.0927958,941,9106.0
1692901929.412184,961,9307.0
1692902014.1655831,981,9506.0
1692902099.2907565,1001,9711.0
1692902183.5518324,1021,9911.0
1692902268.3030534,1041,10114.0
1692902352.6842005,1061,10316.0
1692902436.9407966,1081,10524.0
1692902521.0373793,1101,10728.0
1692902605.146881,1121,10932.0
1692902689.2389543,1141,11134.0
1692902773.5681314,1161,11332.0
1692902857.6274903,1181,11530.0
1692902941.7332108,1201,11751.0
1692903026.0231173,1221,11976.0
1692903109.858589,1241,12190.0
1692903193.6984997,1261,12411.0
1692903277.6857324,1281,12658.0
1692903361.5192676,1301,12877.0
1692903445.8493962,1321,13110.0
1692903529.9649925,1341,13347.0
1692903614.311277,1361,13552.0
1692903697.005219,1381,13754.0
1692903779.9469085,1401,13975.0
1692903863.8110785,1421,14191.0
1692903948.3743796,1441,14451.0
1692904033.5713239,1461,14739.0
1692904118.216304,1481,14972.0
1692904202.9956083,1501,15264.0
1692904287.9518838,1521,15517.0
1692904373.3066673,1541,15822.0
1692904458.161997,1561,16154.0
1692904543.1419768,1581,16476.0
1692904628.3425884,1601,16779.0
1692904713.4283364,1621,17021.0
1692904798.6460555,1641,17259.0
1692904883.7552516,1661,17502.0
1692904969.1850379,1681,17768.0
1692905054.3099837,1701,18063.0
1692905139.2887883,1721,18282.0
1692905224.1870081,1741,18537.0
1692905309.4221559,1761,18768.0
1692905394.6367989,1781,19063.0
1692905479.7304437,1801,19420.0
1692905564.921207,1821,19717.0
1692905649.9689195,1841,20035.0
1692905734.6220179,1861,20285.0
1692905819.856364,1881,20499.0
1692905904.8713546,1901,20789.0
1692905989.9740539,1921,21111.0
1692906074.7101123,1941,21396.0
1692906159.6228878,1961,21723.0
1692906244.5079193,1981,22014.0
1692906329.7397113,2001,22316.0
1692906415.0086694,2021,22664.0
1692906500.38453,2041,23040.0
1692906585.5087888,2061,23380.0
1692906670.1364152,2081,23705.0
1692906754.912943,2101,24039.0
1692906839.8662953,2121,24366.0
1692906925.5183835,2141,24687.0
1692907010.5135741,2161,25040.0
1692907095.72548,2181,25380.0
1692907180.8621173,2201,25736.0
1692907266.0547543,2221,26090.0
1692907351.054066,2241,26448.0
1692907436.0582852,2261,26786.0
1692907520.9059453,2281,27139.0
1692907605.4961805,2301,27490.0
1692907690.2390397,2321,27847.0
1692907774.6715715,2341,28207.0
1692907859.0104742,2361,28535.0
1692907943.159176,2381,28869.0
1692908027.3596883,2401,29209.0
1692908112.347921,2421,29583.0
1692908196.727083,2441,29992.0
1692908281.1141486,2461,30426.0
1692908365.2841923,2481,30816.0
1692908449.2730954,2501,31128.0
1692908533.596152,2521,31507.0
1692908618.1070437,2541,31923.0
1692908702.2823527,2561,32324.0
1692908787.0147967,2581,32756.0
1692908871.388839,2601,33114.0
1692908956.3910856,2621,33546.0
1692909040.8721702,2641,33959.0
1692909125.9795783,2661,34383.0
1692909210.4777303,2681,34807.0
1692909294.9729564,2701,35224.0
1692909379.7340717,2721,35626.0
1692909464.2521336,2741,36015.0
1692909548.8643048,2761,36424.0
1692909633.7739298,2781,36828.0
1692909718.3059523,2801,37245.0
1692909803.1614878,2821,37711.0
1692909887.7671788,2841,38195.0
1692909972.8483145,2861,38655.0
1692910057.5205204,2881,39029.0
1692910142.4427073,2901,39363.0
1692910226.8175392,2921,39727.0
1692910311.0700579,2941,40103.0
1692910395.484776,2961,40560.0
1692910480.1075306,2981,40994.0
1692910564.6129591,3001,41441.0
1692910649.4491274,3021,41903.0
1692910734.1815033,3041,42364.0
1692910818.6093526,3061,42796.0
1692910903.3549488,3081,43280.0
1692910988.0649796,3101,43775.0
1692911073.1134462,3121,44270.0
1692911157.9428883,3141,44782.0
1692911242.9021544,3161,45261.0
1692911327.8045545,3181,45698.0
1692911412.5194178,3201,46207.0
1692911497.4844515,3221,46721.0
1692911582.2594452,3241,47211.0
1692911667.2637684,3261,47630.0
1692911752.23361,3281,48042.0
1692911836.9494603,3301,48445.0
1692911922.3103127,3321,48898.0
1692912007.110683,3341,49309.0
1692912092.3876705,3361,49804.0
1692912177.3054094,3381,50314.0
1692912262.5012836,3401,50815.0
1692912347.5748208,3421,51352.0
1692912432.5698688,3441,51835.0
1692912517.5783598,3461,52292.0
1692912602.6088045,3481,52786.0
1692912687.6102285,3501,53306.0
1692912772.2008119,3521,53799.0
1692912856.880675,3541,54234.0
1692912941.4270847,3561,54661.0
1692913026.3463907,3581,55106.0
1692913110.9773421,3601,55587.0
1692913195.5705166,3621,56075.0
1692913280.173205,3641,56526.0
1692913364.7486188,3661,57027.0
1692913449.4212198,3681,57508.0
1692913534.5445743,3701,57989.0
1692913618.9212737,3721,58455.0
1692913703.3184156,3741,58926.0
1692913787.4733531,3761,59379.0
1692913871.7060444,3781,59859.0
1692913955.8750753,3801,60350.0
1692914039.7992554,3821,60841.0
1692914124.0775561,3841,61318.0
1692914208.8591821,3861,61781.0
1692914293.484474,3881,62240.0
1692914378.2304401,3901,62696.0
1692914463.0472631,3921,63122.0
1692914548.0203745,3941,63578.0
1692914632.9077675,3961,64041.0
1692914717.9952133,3981,64540.0
1692914802.6223457,4001,65018.0
1692914887.6985385,4021,65476.0
1692914972.2048473,4041,65950.0
1692915056.5851917,4061,66360.0
1692915141.1240554,4081,66803.0
1692915225.7846727,4101,67265.0
1692915310.9779272,4121,67790.0
1692915395.9515965,4141,68276.0
1692915480.794212,4161,68758.0
1692915565.6742003,4181,69258.0
1692915650.8306887,4201,69804.0
1692915735.7234614,4221,70305.0
1692915821.0916662,4241,70857.0
1692915906.069608,4261,71429.0
1692915991.2562146,4281,71943.0
1692916076.2819126,4301,72430.0
1692916161.4973829,4321,72980.0
1692916246.7793968,4341,73490.0
1692916332.094405,4361,73983.0
1692916417.5599945,4381,74494.0
1692916502.694527,4401,74983.0
1692916588.360259,4421,75514.0
1692916673.2751749,4441,76000.0
1692916758.489598,4461,76497.0
1692916842.863139,4481,76978.0
1692916928.0645518,4501,77473.0
1692917013.0841956,4521,77981.0
1692917098.4399557,4541,78479.0
1692917183.6350698,4561,78948.0
1692917269.1469932,4581,79422.0
1692917354.4631345,4601,79900.0
1692917439.7674522,4621,80400.0
1692917525.0500045,4641,80880.0
1692917610.5732088,4661,81406.0
1692917695.768617,4681,81942.0
1692917780.9411197,4701,82433.0
1692917866.1911001,4721,82948.0
1692917951.3210702,4741,83465.0
1692918036.6319003,4761,83934.0
1692918122.117977,4781,84436.0
1692918207.2971625,4801,84901.0
1692918292.6836793,4821,85428.0
1692918378.1171348,4841,85931.0
1692918463.769639,4861,86428.0
1692918549.2843337,4881,86945.0
1692918634.5619931,4901,87486.0
1692918719.7373078,4921,88006.0
1692918805.1508152,4941,88519.0
1692918890.229121,4961,89027.0
1692918976.031194,4981,89553.0
1692919061.4698317,5001,90036.0
