Wall time,Step,Value
1693178135.1444542,1,56.0
1693178219.2915285,21,246.0
1693178303.1941123,41,433.0
1693178387.763804,61,628.0
1693178472.1135936,81,819.0
1693178556.6442237,101,1011.0
1693178640.425873,121,1202.0
1693178724.8411937,141,1392.0
1693178808.7142434,161,1584.0
1693178893.0691926,181,1775.0
1693178977.2803981,201,1967.0
1693179061.642589,221,2157.0
1693179146.5215049,241,2350.0
1693179230.6834714,261,2542.0
1693179314.9141157,281,2733.0
1693179398.5828853,301,2924.0
1693179482.6605902,321,3114.0
1693179566.812812,341,3305.0
1693179650.4937232,361,3496.0
1693179734.5460286,381,3686.0
1693179818.7559698,401,3879.0
1693179902.752755,421,4068.0
1693179987.0116944,441,4259.0
1693180071.2862906,461,4450.0
1693180155.1141841,481,4640.0
1693180239.2317429,501,4833.0
1693180323.4211297,521,5025.0
1693180407.2362058,541,5212.0
1693180491.4570363,561,5404.0
1693180575.9448857,581,5596.0
1693180660.477586,601,5789.0
1693180744.8389578,621,5981.0
1693180828.5564506,641,6169.0
1693180912.8199852,661,6361.0
1693180996.7488906,681,6552.0
1693181080.832712,701,6744.0
1693181165.6510715,721,6936.0
1693181249.4744804,741,7126.0
1693181333.027361,761,7316.0
1693181416.6848078,781,7506.0
1693181500.4228227,801,7698.0
1693181584.8590372,821,7889.0
1693181668.4924169,841,8080.0
1693181752.935051,861,8272.0
1693181836.751754,881,8462.0
1693181921.0936234,901,8654.0
1693182005.7136774,921,8846.0
1693182090.217139,941,9038.0
1693182174.8222532,961,9233.0
1693182259.5833533,981,9425.0
1693182344.3376858,1001,9620.0
1693182428.3409061,1021,9810.0
1693182513.0102668,1041,10003.0
1693182597.881706,1061,10196.0
1693182682.8363383,1081,10389.0
1693182767.3969078,1101,10583.0
1693182853.1831174,1121,10777.0
1693182938.9745073,1141,10973.0
1693183024.990239,1161,11170.0
1693183110.0792973,1181,11365.0
1693183195.2652543,1201,11561.0
1693183280.0351517,1221,11755.0
1693183364.898507,1241,11949.0
1693183449.1605806,1261,12145.0
1693183533.6918664,1281,12338.0
1693183618.187202,1301,12534.0
1693183702.073372,1321,12731.0
1693183786.6544535,1341,12929.0
1693183871.0433285,1361,13123.0
1693183955.7025638,1381,13318.0
1693184039.8144085,1401,13512.0
1693184124.5507133,1421,13704.0
1693184208.4289482,1441,13896.0
1693184292.4251854,1461,14087.0
1693184376.1856525,1481,14278.0
1693184459.978896,1501,14470.0
1693184543.7364986,1521,14661.0
1693184627.7408552,1541,14854.0
1693184712.4451437,1561,15049.0
1693184796.353366,1581,15242.0
1693184879.9950302,1601,15433.0
1693184963.749025,1621,15627.0
1693185047.6071045,1641,15820.0
1693185131.7290454,1661,16016.0
1693185216.0897934,1681,16213.0
1693185300.0353246,1701,16403.0
1693185384.5422878,1721,16598.0
1693185468.6942248,1741,16795.0
1693185552.721693,1761,16991.0
1693185636.740377,1781,17184.0
1693185720.7491338,1801,17384.0
1693185804.84567,1821,17577.0
1693185889.360914,1841,17774.0
1693185974.5190947,1861,17969.0
1693186058.892972,1881,18161.0
1693186143.672317,1901,18354.0
1693186227.7519956,1921,18546.0
1693186312.0455184,1941,18739.0
1693186396.0290818,1961,18932.0
1693186480.6223872,1981,19126.0
1693186565.5611699,2001,19319.0
1693186650.1652663,2021,19514.0
1693186734.1173677,2041,19707.0
1693186818.997576,2061,19903.0
1693186903.0355282,2081,20095.0
1693186987.4225376,2101,20287.0
1693187072.3434665,2121,20482.0
1693187157.363151,2141,20678.0
1693187241.6187325,2161,20884.0
1693187326.0156558,2181,21096.0
1693187410.8485546,2201,21299.0
1693187495.7926626,2221,21506.0
1693187581.042112,2241,21709.0
1693187665.6784506,2261,21919.0
1693187750.566883,2281,22144.0
1693187835.7350607,2301,22375.0
1693187920.3752458,2321,22605.0
1693188005.3388524,2341,22799.0
1693188090.345113,2361,23009.0
1693188174.3209395,2381,23205.0
1693188259.4808545,2401,23437.0
1693188344.7177775,2421,23676.0
1693188429.929179,2441,23885.0
1693188515.4069474,2461,24103.0
1693188600.984267,2481,24341.0
1693188685.5496285,2501,24562.0
1693188770.7327242,2521,24788.0
1693188855.8298361,2541,25035.0
1693188940.9373019,2561,25267.0
1693189025.3737414,2581,25501.0
1693189110.4679427,2601,25761.0
1693189194.6996613,2621,25991.0
1693189279.2356977,2641,26242.0
1693189364.446853,2661,26490.0
1693189449.0652328,2681,26731.0
1693189534.1995444,2701,26989.0
1693189619.4711409,2721,27293.0
1693189704.3656085,2741,27640.0
1693189788.9723227,2761,27906.0
1693189873.486254,2781,28202.0
1693189958.584791,2801,28530.0
1693190043.2646565,2821,28872.0
1693190128.251223,2841,29127.0
1693190212.833026,2861,29394.0
1693190297.4392862,2881,29676.0
1693190382.4063375,2901,29975.0
1693190467.235347,2921,30250.0
1693190552.0113406,2941,30536.0
1693190636.6728134,2961,30802.0
