Wall time,Step,Value
1692999773.1819367,1,34.0
1692999837.1127553,21,62.0
1692999901.2003176,41,88.0
1692999965.378939,61,115.0
1693000029.4998648,81,142.0
1693000092.6301572,101,168.0
1693000155.9530032,121,195.0
1693000219.9017477,141,222.0
1693000283.2489312,161,249.0
1693000347.120037,181,275.0
1693000410.310609,201,302.0
1693000473.252195,221,329.0
1693000536.4993756,241,355.0
1693000599.747537,261,382.0
1693000662.5895917,281,408.0
1693000725.571747,301,434.0
1693000788.832533,321,461.0
1693000852.3618467,341,488.0
1693000915.2722356,361,514.0
1693000978.2249007,381,541.0
1693001041.6650426,401,567.0
1693001104.70671,421,594.0
1693001167.1540048,441,620.0
1693001230.5041451,461,647.0
1693001294.0484593,481,674.0
1693001355.2886689,501,699.0
1693001418.3205142,521,726.0
1693001481.385788,541,752.0
1693001544.740417,561,779.0
1693001607.6719391,581,805.0
1693001670.8548093,601,832.0
1693001733.7854216,621,858.0
1693001796.9483151,641,885.0
1693001860.1132739,661,911.0
1693001923.239513,681,938.0
1693001985.4309523,701,964.0
1693002046.5981123,721,989.0
1693002110.4377408,741,1015.0
1693002173.671727,761,1042.0
1693002236.2950592,781,1068.0
1693002299.5854998,801,1095.0
1693002362.556304,821,1121.0
1693002425.7421072,841,1147.0
1693002488.317616,861,1174.0
1693002551.5444577,881,1200.0
1693002613.9742446,901,1227.0
1693002676.6062095,921,1253.0
1693002739.7623672,941,1279.0
1693002802.6595216,961,1305.0
1693002866.2460344,981,1332.0
1693002929.4371908,1001,1358.0
1693002992.43562,1021,1384.0
1693003055.8428676,1041,1411.0
1693003117.0809355,1061,1437.0
1693003179.4419518,1081,1463.0
1693003242.1782775,1101,1489.0
1693003305.7870722,1121,1515.0
1693003369.3710353,1141,1542.0
1693003432.324516,1161,1568.0
1693003494.6162987,1181,1595.0
1693003556.9661312,1201,1621.0
1693003618.5721543,1221,1647.0
1693003680.5583682,1241,1672.0
1693003744.2118814,1261,1699.0
1693003807.4484587,1281,1726.0
1693003869.9983795,1301,1752.0
1693003932.8974903,1321,1778.0
1693003995.84071,1341,1805.0
1693004058.619869,1361,1831.0
1693004122.1030521,1381,1858.0
1693004185.5334744,1401,1884.0
1693004248.8163745,1421,1911.0
1693004311.9504097,1441,1937.0
1693004375.496997,1461,1964.0
1693004438.8067746,1481,1991.0
1693004501.6331048,1501,2017.0
1693004565.1111455,1521,2044.0
1693004628.818459,1541,2070.0
1693004691.6595862,1561,2097.0
1693004754.3858423,1581,2123.0
1693004817.5280285,1601,2150.0
1693004880.6796548,1621,2176.0
1693004944.0745003,1641,2203.0
1693005006.6475554,1661,2229.0
1693005069.7438478,1681,2255.0
1693005132.5765743,1701,2281.0
1693005194.6272595,1721,2307.0
1693005256.8861773,1741,2333.0
1693005319.3520164,1761,2359.0
1693005382.4181716,1781,2386.0
1693005445.906329,1801,2412.0
1693005509.2827573,1821,2438.0
1693005572.4710736,1841,2465.0
1693005635.8291028,1861,2491.0
1693005698.9255583,1881,2517.0
1693005761.9187474,1901,2544.0
1693005825.3095264,1921,2570.0
1693005888.8820324,1941,2597.0
1693005951.8413754,1961,2623.0
1693006015.0319493,1981,2650.0
1693006076.995647,2001,2675.0
1693006140.110148,2021,2702.0
1693006203.087178,2041,2728.0
1693006265.9447012,2061,2754.0
1693006328.7932768,2081,2780.0
1693006391.6761446,2101,2807.0
1693006453.926523,2121,2833.0
1693006517.1290333,2141,2859.0
1693006579.2665954,2161,2885.0
1693006642.16987,2181,2911.0
1693006705.3559325,2201,2938.0
1693006768.3583033,2221,2964.0
1693006831.0191615,2241,2991.0
1693006894.6934574,2261,3017.0
