Wall time,Step,Value
1693295728.509949,1,-0.92013019323349
1693295811.5797338,21,-0.8711718916893005
1693295895.2653458,41,-0.8884816765785217
1693295979.325976,61,-0.9009605050086975
1693296062.727678,81,-0.8653439283370972
1693296146.8833992,101,-0.8622486591339111
1693296230.5600123,121,-0.8706966042518616
1693296314.129737,141,-0.8677459955215454
1693296397.7194176,161,-0.8345215916633606
1693296481.0257604,181,-0.8971447348594666
1693296564.5552213,201,-0.8811898231506348
1693296647.9184034,221,-0.9077094197273254
1693296731.5137415,241,-0.8899140357971191
1693296815.1130726,261,-0.9041556119918823
1693296898.651951,281,-0.8955497145652771
1693296983.258066,301,-0.8442292809486389
1693297066.951715,321,-0.8720545172691345
1693297150.6080706,341,-0.859184205532074
1693297234.317954,361,-0.8526130318641663
1693297317.7956748,381,-0.833899736404419
1693297401.3277366,401,-0.8644121885299683
1693297484.863459,421,-0.86203533411026
1693297568.7558882,441,-0.8475727438926697
1693297652.2529235,461,-0.8664237856864929
1693297735.6962273,481,-0.8716184496879578
1693297819.422341,501,-0.849841296672821
1693297903.0472996,521,-0.86942458152771
1693297987.4193342,541,-0.8262369632720947
1693298071.2491336,561,-0.831092119216919
1693298155.3620112,581,-0.7826710343360901
1693298239.0659819,601,-0.7858267426490784
1693298322.9775639,621,-0.7614659667015076
1693298407.1726475,641,-0.7997709512710571
1693298491.1525269,661,-0.7893223762512207
1693298574.9349763,681,-0.7839162349700928
1693298658.4526305,701,-0.7508684396743774
1693298742.5846653,721,-0.7273897528648376
1693298826.505978,741,-0.7301875948905945
1693298910.586449,761,-0.7495638132095337
1693298994.4690242,781,-0.6873081922531128
1693299077.3252397,801,-0.7286369800567627
1693299160.3985598,821,-0.7425451874732971
1693299244.7853055,841,-0.6575325727462769
1693299328.5858674,861,-0.7142446637153625
1693299412.3633249,881,-0.6959635615348816
1693299496.515761,901,-0.7485986948013306
1693299580.9083126,921,-0.6380723714828491
1693299665.3434932,941,-0.5797293782234192
1693299750.5360868,961,-0.7361453175544739
1693299835.8631794,981,-0.6683269143104553
1693299922.108038,1001,-0.6448269486427307
1693300007.1645434,1021,-0.5997873544692993
1693300092.2417247,1041,-0.5893199443817139
1693300176.269299,1061,-0.4510846734046936
1693300260.2523324,1081,-0.5270899534225464
1693300344.4339197,1101,-0.7038881778717041
1693300428.2478194,1121,-0.5593891739845276
1693300512.5123973,1141,-0.4753558933734894
1693300596.37388,1161,-0.4217659831047058
1693300680.304669,1181,-0.500451922416687
1693300764.3933382,1201,-0.5119044780731201
1693300848.1644175,1221,-0.49048686027526855
1693300931.5283685,1241,-0.596710741519928
1693301015.4036348,1261,-0.4299757480621338
1693301099.4220514,1281,-0.49687719345092773
1693301183.476953,1301,-0.4692882001399994
1693301267.6644313,1321,-0.4936387538909912
1693301351.904736,1341,-0.3491837680339813
1693301435.9795072,1361,-0.5228337645530701
1693301519.9068093,1381,-0.3418913781642914
1693301603.9183888,1401,-0.4282703995704651
1693301688.2755842,1421,-0.23283334076404572
1693301772.4921668,1441,0.29087457060813904
1693301856.8149989,1461,0.23416870832443237
1693301941.913539,1481,-0.2724873125553131
1693302026.0462785,1501,-0.6242875456809998
1693302110.195266,1521,-0.4682448208332062
1693302194.5079596,1541,0.2756972014904022
1693302278.6841745,1561,-0.10509450733661652
1693302363.5899098,1581,-0.3000701665878296
1693302447.974808,1601,-0.17635579407215118
1693302532.2288017,1621,-0.15449050068855286
1693302616.580321,1641,0.02604486793279648
1693302701.7759469,1661,-0.0022769400384277105
1693302786.2603168,1681,-0.1915811449289322
1693302871.1739924,1701,-0.09197436273097992
1693302956.5341587,1721,-0.06360691040754318
1693303041.222757,1741,-0.1600322276353836
1693303126.1423407,1761,0.06823766231536865
1693303210.7239444,1781,-0.1176503449678421
1693303295.3803596,1801,0.03884890303015709
1693303380.3573482,1821,0.029488828033208847
1693303464.6623569,1841,-0.09555268287658691
1693303549.1126766,1861,-0.17452505230903625
1693303633.4212961,1881,-0.402214914560318
1693303717.9380808,1901,-0.0972743108868599
1693303802.5357742,1921,-0.24905043840408325
1693303887.2864254,1941,0.10729914158582687
1693303972.2802389,1961,0.22137562930583954
1693304056.7845776,1981,-0.07973985373973846
1693304141.1046486,2001,0.06167975068092346
1693304225.4491289,2021,-0.006415798328816891
1693304310.1599782,2041,0.29576388001441956
1693304394.2470832,2061,0.08832162618637085
1693304478.6774676,2081,0.15320436656475067
1693304563.0204072,2101,0.19333112239837646
1693304647.6946478,2121,-0.00910340715199709
1693304732.4152963,2141,0.1897558867931366
1693304816.892582,2161,0.4841666519641876
1693304902.1717288,2181,0.030378002673387527
1693304987.5576246,2201,0.16113577783107758
1693305072.406265,2221,0.2923051416873932
1693305157.6420848,2241,0.19995298981666565
1693305242.2518873,2261,0.2763541638851166
1693305327.5388248,2281,0.17527563869953156
1693305412.447686,2301,0.11120250076055527
1693305497.82385,2321,0.13741116225719452
1693305583.1630223,2341,-0.09737228602170944
1693305667.963055,2361,0.1306462585926056
1693305752.5246456,2381,0.27456650137901306
1693305836.8761415,2401,-0.1926998347043991
1693305921.6444263,2421,0.1256004273891449
1693306006.0036788,2441,0.2849787473678589
1693306090.281388,2461,0.24902276694774628
1693306174.4587002,2481,0.3351260721683502
1693306258.8317862,2501,0.3829631805419922
1693306342.9803853,2521,0.30227991938591003
1693306427.420903,2541,0.04133851081132889
1693306511.8370194,2561,0.05205497145652771
1693306596.0441978,2581,0.10578367114067078
1693306680.2772763,2601,0.13507825136184692
1693306764.7890105,2621,0.38758584856987
1693306849.2304347,2641,0.28355127573013306
1693306933.8577247,2661,0.33137115836143494
1693307017.960512,2681,0.36984506249427795
1693307102.4926841,2701,0.31376519799232483
1693307187.3247528,2721,0.2854425609111786
1693307271.4621773,2741,0.20596571266651154
1693307355.851353,2761,0.24944515526294708
1693307440.173317,2781,0.21886500716209412
1693307524.3960989,2801,0.25317272543907166
1693307609.084464,2821,0.15236692130565643
1693307693.4810987,2841,0.25051432847976685
1693307778.0035386,2861,0.15099956095218658
1693307862.2856889,2881,-0.47373512387275696
1693307946.7927854,2901,-0.18239310383796692
1693308031.2624898,2921,-0.20007161796092987
1693308115.9953597,2941,0.13619016110897064
1693308200.514906,2961,0.20444370806217194
1693308285.1272602,2981,0.3233269453048706
1693308369.6262164,3001,0.10233592242002487
1693308454.0046802,3021,0.07321180403232574
1693308538.3941844,3041,0.4837247431278229
1693308623.2001271,3061,0.7809182405471802
1693308708.02735,3081,0.35760897397994995
1693308792.3818269,3101,0.3100755512714386
1693308876.8017082,3121,0.33463916182518005
1693308961.2915533,3141,0.6179345846176147
1693309045.819988,3161,0.38390758633613586
1693309130.3254528,3181,0.30397534370422363
1693309215.0798752,3201,0.5156750082969666
1693309299.765223,3221,0.29308202862739563
1693309384.9612684,3241,0.48319584131240845
1693309469.6707559,3261,0.16917096078395844
1693309554.321999,3281,0.3845241069793701
1693309638.8321874,3301,0.3600170910358429
1693309723.5748997,3321,0.5361276865005493
1693309808.2359602,3341,0.3574806749820709
1693309893.0148487,3361,0.24157334864139557
1693309977.5839474,3381,0.2788997292518616
1693310062.399869,3401,0.2693696618080139
1693310147.8620877,3421,0.23369356989860535
1693310232.6411572,3441,0.29115384817123413
1693310317.0830088,3461,0.2979690134525299
1693310401.8045235,3481,0.3107817769050598
1693310486.5421405,3501,0.3228354752063751
1693310572.1764777,3521,0.2919679582118988
1693310657.4709005,3541,0.18256908655166626
1693310741.957903,3561,0.2513595223426819
1693310827.136384,3581,0.3336089253425598
1693310912.5901704,3601,0.21337774395942688
1693310997.957865,3621,0.2738600969314575
1693311083.7269745,3641,0.2801666557788849
1693311169.5494444,3661,0.2942783534526825
1693311254.7190003,3681,0.29008591175079346
1693311339.7322192,3701,0.2890695035457611
1693311424.6296875,3721,0.3234230875968933
1693311509.2919083,3741,0.3324761390686035
1693311593.9632113,3761,0.27755799889564514
1693311678.6542637,3781,0.38002777099609375
1693311763.4032915,3801,0.2515997290611267
1693311847.94066,3821,0.05433289706707001
1693311932.2645414,3841,0.34416237473487854
1693312017.0984337,3861,0.37660256028175354
1693312101.67447,3881,0.32741624116897583
1693312186.3006687,3901,0.26273098587989807
1693312271.0500293,3921,0.3051837682723999
1693312356.000799,3941,0.32387393712997437
1693312440.5279477,3961,0.3014046251773834
1693312525.0853748,3981,0.42017093300819397
1693312609.8958051,4001,0.2771112620830536
1693312694.699287,4021,0.33908799290657043
1693312779.2140312,4041,0.2686895430088043
1693312863.8747172,4061,0.29511502385139465
1693312948.587131,4081,0.32615384459495544
1693313033.4683611,4101,0.3002806603908539
1693313118.9550261,4121,0.3183205723762512
1693313203.9270873,4141,0.31610459089279175
1693313288.6848524,4161,0.17449358105659485
1693313373.2691302,4181,0.26898717880249023
1693313457.9924886,4201,-0.008324610069394112
1693313542.4868155,4221,0.11497382074594498
1693313627.2873023,4241,0.1961161494255066
1693313712.0620983,4261,-0.35115548968315125
1693313797.675904,4281,0.31989583373069763
1693313882.6414504,4301,0.2736002504825592
1693313967.2920384,4321,0.26852330565452576
1693314052.2014008,4341,0.30808505415916443
1693314136.4217727,4361,0.4019969701766968
1693314221.263589,4381,0.7058843970298767
1693314306.2901192,4401,0.2813311815261841
1693314390.908205,4421,0.40308117866516113
1693314475.9491143,4441,0.48113542795181274
1693314560.3044116,4461,0.27233049273490906
1693314645.5085073,4481,0.28376519680023193
1693314730.5051305,4501,0.26495060324668884
1693314816.2037966,4521,0.20068876445293427
1693314901.6449072,4541,0.25588274002075195
1693314987.162517,4561,0.2996794879436493
1693315072.2513187,4581,0.30112412571907043
1693315157.364417,4601,0.30730342864990234
1693315242.9540274,4621,0.21422278881072998
1693315328.205983,4641,-0.3939158320426941
1693315413.5182786,4661,-0.012141930870711803
1693315499.5418546,4681,0.14342473447322845
1693315585.1088452,4701,0.12003885954618454
1693315670.1007102,4721,0.23927834630012512
1693315755.7783394,4741,0.258493572473526
1693315840.8461204,4761,0.2964070737361908
1693315926.7468266,4781,0.23994871973991394
1693316012.0264266,4801,0.2692461311817169
1693316097.3110225,4821,0.25791239738464355
1693316183.3214562,4841,0.23463916778564453
1693316269.0757408,4861,0.13828608393669128
1693316354.809212,4881,0.19294415414333344
1693316439.9530332,4901,-0.5808984637260437
1693316524.3923533,4921,-0.9392307996749878
1693316609.3644176,4941,-0.9564213156700134
1693316694.1375895,4961,-0.9338402152061462
1693316778.8913066,4981,-0.9257550835609436
1693316863.5537136,5001,-0.912938117980957
