Wall time,Step,Value
1696824109.7828856,1,-1.0
1696824254.610146,21,-1.0
1696824398.3288937,41,-1.0
1696824543.1430054,61,-1.0
1696824687.9978485,81,-1.0
1696824832.4881527,101,-1.0
1696824975.8214562,121,-1.0
1696825121.0144153,141,-1.0
1696825265.9376066,161,-1.0
1696825411.451185,181,-1.0
1696825556.8923025,201,-1.0
1696825701.6441488,221,-1.0
1696825846.7371664,241,-1.0
1696825992.5985856,261,-1.0
1696826138.4670525,281,-1.0
1696826283.4124484,301,-1.0
1696826428.7281597,321,-1.0
1696826573.9752243,341,-1.0
1696826719.212819,361,-1.0
1696826865.4308136,381,-1.0
1696827009.9267185,401,-1.0
1696827154.8369865,421,-1.0
1696827299.8266232,441,-1.0
1696827445.6675863,461,-1.0
1696827591.7313077,481,-1.0
1696827738.1678722,501,-1.0
1696827883.6493168,521,-1.0
1696828029.4617655,541,-1.0
1696828176.9006708,561,-1.0
1696828324.1516852,581,-1.0
1696828469.7108757,601,-1.0
1696828615.045874,621,-1.0
1696828760.3320253,641,-1.0
1696828906.764047,661,-1.0
1696829052.8663013,681,-1.0
1696829199.218359,701,-1.0
1696829345.2990031,721,-1.0
1696829491.0213113,741,-1.0
1696829636.8442583,761,-1.0
1696829783.0706882,781,-1.0
1696829928.9432893,801,-1.0
1696830075.0051794,821,-1.0
1696830221.6944828,841,-1.0
1696830367.8723588,861,-1.0
1696830514.7853148,881,-1.0
1696830660.8530407,901,-1.0
1696830806.3139505,921,-1.0
1696830952.860925,941,-1.0
1696831099.122324,961,-1.0
1696831245.710248,981,-1.0
1696831393.102723,1001,-1.0
1696831539.5001101,1021,-1.0
1696831685.3591797,1041,-1.0
1696831832.3170018,1061,-1.0
1696831978.9342594,1081,-1.0
1696832124.8222594,1101,-1.0
1696832270.7313395,1121,-1.0
1696832417.5151029,1141,-1.0
1696832564.2352102,1161,-1.0
1696832709.4010603,1181,-1.0
1696832855.3400254,1201,-1.0
1696833000.081889,1221,-1.0
1696833146.2996912,1241,-1.0
1696833292.897853,1261,-1.0
1696833438.6887896,1281,-1.0
1696833583.4722002,1301,-1.0
1696833729.5391572,1321,-1.0
1696833875.7682903,1341,-1.0
1696834020.86448,1361,-1.0
1696834167.4356043,1381,-1.0
1696834313.668974,1401,-1.0
1696834459.3981106,1421,-1.0
1696834606.005952,1441,-1.0
1696834752.4929366,1461,-1.0
1696834898.5139499,1481,-1.0
1696835045.1729875,1501,-1.0
1696835191.4608295,1521,-1.0
1696835338.0393903,1541,-1.0
1696835485.0302145,1561,-1.0
1696835631.6469154,1581,-1.0
1696835778.3540955,1601,-1.0
1696835924.5030386,1621,-1.0
1696836070.5892391,1641,-1.0
1696836215.7322385,1661,-1.0
1696836362.4066412,1681,-1.0
1696836508.9396389,1701,-1.0
1696836655.3824794,1721,-1.0
1696836801.5556896,1741,-1.0
1696836947.8214464,1761,-1.0
1696837093.35826,1781,-1.0
1696837239.4268708,1801,-1.0
1696837383.700701,1821,-1.0
1696837529.5559754,1841,-1.0
1696837675.1402016,1861,-1.0
1696837820.4878054,1881,-1.0
1696837967.4257565,1901,-1.0
1696838113.9345675,1921,-1.0
1696838259.1661055,1941,-1.0
1696838404.9546258,1961,-1.0
1696838551.0924194,1981,-1.0
1696838696.075381,2001,-1.0
1696838842.647345,2021,-1.0
1696838989.1210663,2041,-1.0
1696839135.165782,2061,-0.9850829243659973
1696839280.537609,2081,-1.0
1696839426.688146,2101,-1.0
1696839573.5844238,2121,-1.0
1696839719.2084398,2141,-1.0
1696839865.0847454,2161,-1.0
1696840012.0277867,2181,-1.0
1696840157.6458914,2201,-1.0
1696840303.273622,2221,-1.0
1696840449.268042,2241,-1.0
1696840595.0349317,2261,-1.0
1696840739.7941837,2281,-1.0
1696840885.6900098,2301,-1.0
1696841032.2805853,2321,-1.0
1696841179.175425,2341,-1.0
1696841325.3340423,2361,-1.0
1696841472.652242,2381,-1.0
1696841619.1412618,2401,-1.0
1696841764.7750454,2421,-1.0
1696841910.2153585,2441,-1.0
1696842057.2035193,2461,-1.0
1696842202.7695491,2481,-0.9687164425849915
1696842348.983086,2501,-1.0
1696842494.9810784,2521,-1.0
1696842641.8288667,2541,-1.0
1696842788.7370908,2561,-1.0
1696842935.0853932,2581,-1.0
1696843083.085013,2601,-1.0
1696843229.81912,2621,-1.0
1696843377.400317,2641,-1.0
1696843524.201277,2661,-1.0
1696843671.581768,2681,-1.0
1696843818.000669,2701,-1.0
1696843964.8340242,2721,-1.0
1696844112.101054,2741,-1.0
1696844258.31071,2761,-1.0
1696844404.9560442,2781,-1.0
1696844552.5949347,2801,-1.0
1696844699.0584748,2821,-1.0
1696844846.1602683,2841,-1.0
1696844993.2375426,2861,-1.0
1696845140.122671,2881,-1.0
1696845286.3526466,2901,-1.0
1696845432.8352628,2921,-1.0
1696845578.5796938,2941,-1.0
1696845723.9695601,2961,-1.0
1696845869.7362254,2981,-1.0
1696846016.6647773,3001,-1.0
1696846162.1231556,3021,-1.0
1696846308.3220234,3041,-1.0
1696846453.8404984,3061,-1.0
1696846599.422615,3081,-1.0
1696846745.5508685,3101,-1.0
1696846890.9120276,3121,-1.0
1696847036.9278975,3141,-1.0
1696847181.516526,3161,-1.0
1696847327.4374166,3181,-1.0
1696847474.5804286,3201,-1.0
1696847620.2438502,3221,-1.0
1696847766.7966774,3241,-1.0
1696847912.6500723,3261,-1.0
1696848058.8139746,3281,-1.0
1696848205.7152405,3301,-1.0
1696848352.74828,3321,-1.0
1696848499.0686529,3341,-1.0
1696848646.1099386,3361,-1.0
1696848792.851065,3381,-1.0
1696848938.9033952,3401,-1.0
1696849085.5872962,3421,-1.0
1696849231.8370423,3441,-1.0
1696849378.9766088,3461,-1.0
1696849525.958601,3481,-1.0
1696849673.2038307,3501,-1.0
1696849819.1884418,3521,-1.0
1696849964.9071648,3541,-1.0
1696850111.7336407,3561,-1.0
1696850258.649902,3581,-1.0
1696850404.8212774,3601,-1.0
1696850551.847919,3621,-1.0
1696850698.366534,3641,-1.0
1696850844.277268,3661,-1.0
1696850991.0168266,3681,-1.0
1696851138.6159325,3701,-1.0
1696851282.9474514,3721,-1.0
1696851429.2229278,3741,-1.0
1696851575.740831,3761,-1.0
1696851721.8457408,3781,-1.0
1696851867.6668284,3801,-1.0
1696852014.5705976,3821,-1.0
1696852160.7495425,3841,-1.0
1696852306.768957,3861,-1.0
1696852453.2600772,3881,-1.0
1696852599.4630473,3901,-1.0
1696852744.4200573,3921,-1.0
1696852891.2633333,3941,-1.0
1696853038.0497081,3961,-1.0
1696853184.9488153,3981,-1.0
1696853331.4527586,4001,-1.0
1696853478.0919094,4021,-1.0
1696853624.000927,4041,-1.0
1696853769.9426231,4061,-1.0
1696853916.10305,4081,-1.0
1696854062.296083,4101,-1.0
1696854208.727104,4121,-1.0
1696854355.6351192,4141,-1.0
1696854501.5680807,4161,-1.0
1696854647.641351,4181,-1.0
1696854793.6333454,4201,-1.0
1696854939.1793027,4221,-1.0
1696855084.4728594,4241,-1.0
1696855229.4128733,4261,-0.9850837588310242
1696855375.9055421,4281,-1.0
1696855522.8262196,4301,-1.0
1696855667.7118006,4321,-1.0
1696855814.2670343,4341,-1.0
1696855960.1362333,4361,-1.0
1696856105.850765,4381,-1.0
1696856251.300846,4401,-1.0
1696856397.3164954,4421,-1.0
1696856543.683356,4441,-1.0
1696856690.2721448,4461,-1.0
1696856836.8682454,4481,-1.0
1696856983.2282493,4501,-1.0
1696857128.230161,4521,-1.0
1696857273.0360222,4541,-1.0
1696857419.35145,4561,-1.0
1696857565.6413395,4581,-1.0
1696857711.6595285,4601,-1.0
1696857858.623571,4621,-1.0
1696858005.0303621,4641,-1.0
1696858150.923571,4661,-1.0
1696858297.3173573,4681,-1.0
1696858443.8467999,4701,-1.0
1696858589.549243,4721,-1.0
1696858736.430942,4741,-1.0
1696858882.5102665,4761,-1.0
1696859029.086194,4781,-1.0
1696859175.0825238,4801,-1.0
1696859320.560096,4821,-1.0
1696859467.2234552,4841,-1.0
1696859613.3119195,4861,-1.0
1696859759.1234071,4881,-1.0
1696859905.5265634,4901,-1.0
1696860051.8010366,4921,-1.0
1696860198.7852423,4941,-1.0
1696860345.553317,4961,-1.0
1696860491.330458,4981,-1.0
1696860637.6053514,5001,-0.983746349811554
1696860784.135868,5021,-0.982598066329956
1696860930.1145186,5041,-0.9852585196495056
1696861076.2840261,5061,-1.0
1696861221.935136,5081,-1.0
1696861367.3211162,5101,-1.0
1696861512.9276528,5121,-1.0
1696861658.4406698,5141,-1.0
1696861804.6475074,5161,-1.0
1696861950.002271,5181,-1.0
1696862095.6453056,5201,-1.0
1696862240.3824844,5221,-1.0
1696862386.1148965,5241,-1.0
1696862533.128394,5261,-1.0
1696862678.999475,5281,-1.0
1696862825.2531571,5301,-1.0
1696862970.9626992,5321,-1.0
1696863117.612109,5341,-1.0
1696863262.7071004,5361,-1.0
