Wall time,Step,Value
1694325708.2808244,1,-1.0
1694325852.9047163,21,-1.0
1694325995.7458253,41,-1.0
1694326140.0681593,61,-1.0
1694326283.641531,81,-1.0
1694326426.6323152,101,-1.0
1694326571.367259,121,-1.0
1694326715.6032503,141,-1.0
1694326860.1961424,161,-1.0
1694327005.305981,181,-1.0
1694327149.5586526,201,-1.0
1694327296.8022788,221,-1.0
1694327441.8996832,241,-1.0
1694327587.8022082,261,-1.0
1694327733.1170073,281,-1.0
1694327878.3955429,301,-1.0
1694328027.0183823,321,-1.0
1694328172.9331672,341,-1.0
1694328318.922656,361,-1.0
1694328466.4681277,381,-1.0
1694328614.8419223,401,-1.0
1694328762.2067447,421,-1.0
1694328907.4783454,441,-1.0
1694329052.1289864,461,-1.0
1694329197.1076734,481,-1.0
1694329342.9473956,501,-1.0
1694329488.423246,521,-1.0
1694329633.762898,541,-1.0
1694329778.8268597,561,-1.0
1694329924.37653,581,-1.0
1694330069.1013765,601,-1.0
1694330214.0725856,621,-1.0
1694330358.235519,641,-1.0
1694330502.8924077,661,-1.0
1694330647.589459,681,-1.0
1694330793.2677314,701,-1.0
1694330939.2416387,721,-1.0
1694331085.187665,741,-1.0
1694331230.262049,761,-1.0
1694331375.4051006,781,-1.0
1694331520.8250556,801,-1.0
1694331666.4327676,821,-1.0
1694331812.104429,841,-1.0
1694331957.4320765,861,-1.0
1694332102.8719535,881,-1.0
1694332247.8891497,901,-1.0
1694332392.423438,921,-1.0
1694332536.8894546,941,-1.0
1694332681.4337053,961,-1.0
1694332826.3309143,981,-1.0
1694332971.425313,1001,-1.0
1694333115.73222,1021,-1.0
1694333261.000357,1041,-1.0
1694333405.5784264,1061,-1.0
1694333550.8584383,1081,-1.0
1694333694.8226187,1101,-1.0
1694333839.4537926,1121,-1.0
1694333984.6907444,1141,-1.0
1694334130.216145,1161,-1.0
1694334274.6591754,1181,-1.0
1694334419.014152,1201,-1.0
1694334564.1923633,1221,-1.0
1694334709.9193552,1241,-1.0
1694334854.6022975,1261,-1.0
1694334999.624,1281,-1.0
1694335144.4898355,1301,-1.0
1694335289.2568047,1321,-1.0
1694335434.1316342,1341,-1.0
1694335579.025901,1361,-1.0
1694335723.4625669,1381,-1.0
1694335867.9545665,1401,-1.0
1694336013.3046706,1421,-1.0
1694336159.0522027,1441,-1.0
1694336304.0765278,1461,-1.0
1694336449.6067207,1481,-1.0
1694336594.0255644,1501,-1.0
1694336738.7130365,1521,-1.0
1694336885.2097988,1541,-1.0
1694337030.7079048,1561,-1.0
1694337175.5185776,1581,-1.0
1694337321.2627528,1601,-1.0
1694337466.6209717,1621,-1.0
1694337611.5094879,1641,-1.0
1694337757.3611748,1661,-1.0
1694337902.4278758,1681,-1.0
1694338047.2208574,1701,-1.0
1694338192.1431334,1721,-1.0
1694338337.9842997,1741,-1.0
1694338482.5399568,1761,-1.0
1694338627.2268643,1781,-1.0
1694338771.934579,1801,-1.0
1694338917.397516,1821,-1.0
1694339061.4684522,1841,-1.0
1694339206.665542,1861,-1.0
1694339351.9898741,1881,-1.0
1694339496.5424156,1901,-1.0
1694339642.2496588,1921,-1.0
1694339787.0782769,1941,-1.0
1694339932.8227305,1961,-1.0
1694340077.8206859,1981,-1.0
1694340223.2437317,2001,-1.0
1694340368.0653727,2021,-1.0
1694340513.788455,2041,-1.0
1694340658.7670624,2061,-1.0
1694340803.9520307,2081,-1.0
1694340948.8945148,2101,-1.0
1694341093.8913627,2121,-1.0
1694341237.927621,2141,-1.0
1694341383.1907504,2161,-1.0
1694341528.3006825,2181,-1.0
1694341673.6302936,2201,-1.0
1694341818.9571927,2221,-1.0
1694341963.5683866,2241,-1.0
1694342109.4053118,2261,-1.0
1694342254.102208,2281,-1.0
1694342399.3158982,2301,-1.0
1694342544.9799216,2321,-1.0
1694342690.3246784,2341,-1.0
1694342835.0847387,2361,-1.0
1694342979.0300741,2381,-1.0
1694343125.0426297,2401,-1.0
1694343270.9773211,2421,-1.0
1694343416.3998675,2441,-1.0
1694343562.4511654,2461,-1.0
1694343707.6033926,2481,-1.0
1694343851.715613,2501,-1.0
1694343996.4499192,2521,-1.0
1694344142.1718354,2541,-1.0
1694344287.5095842,2561,-1.0
1694344431.8702257,2581,-1.0
1694344577.2033079,2601,-1.0
1694344721.643496,2621,-1.0
1694344867.758076,2641,-1.0
1694345011.7364447,2661,-1.0
1694345156.7255273,2681,-1.0
1694345302.0848613,2701,-1.0
1694345447.3502986,2721,-1.0
1694345592.1059449,2741,-1.0
1694345737.1508453,2761,-1.0
1694345883.0883484,2781,-1.0
1694346028.4655797,2801,-1.0
1694346174.707657,2821,-1.0
1694346319.702553,2841,-1.0
1694346465.9227872,2861,-1.0
1694346611.5391045,2881,-1.0
1694346756.9558413,2901,-1.0
1694346902.6570477,2921,-1.0
1694347048.0701182,2941,-0.983786404132843
1694347193.5309532,2961,-1.0
1694347338.4193914,2981,-0.9535121917724609
1694347484.259066,3001,-1.0
1694347628.580652,3021,-1.0
1694347774.1246064,3041,-1.0
1694347918.3892665,3061,-1.0
1694348063.0940666,3081,-1.0
1694348207.841482,3101,-1.0
1694348353.1655202,3121,-1.0
1694348497.8180623,3141,-1.0
1694348642.214338,3161,-1.0
1694348787.3552964,3181,-1.0
1694348931.475017,3201,-1.0
1694349077.0494504,3221,-1.0
1694349221.9544642,3241,-1.0
1694349366.183861,3261,-1.0
1694349510.6814244,3281,-1.0
1694349654.7796338,3301,-1.0
1694349800.2881167,3321,-0.9850536584854126
1694349945.3098862,3341,-1.0
1694350090.7602427,3361,-1.0
1694350236.4876764,3381,-1.0
1694350381.21311,3401,-1.0
1694350525.8257685,3421,-1.0
1694350671.0930643,3441,-1.0
1694350817.4158032,3461,-1.0
1694350962.3893561,3481,-1.0
1694351107.4538734,3501,-1.0
1694351252.0826547,3521,-1.0
1694351398.030556,3541,-1.0
1694351542.4361036,3561,-1.0
1694351686.36925,3581,-1.0
1694351830.919688,3601,-1.0
1694351975.371041,3621,-0.9693235158920288
1694352120.0925736,3641,-1.0
1694352265.5476625,3661,-1.0
1694352410.4380314,3681,-1.0
1694352555.306857,3701,-1.0
1694352700.9878182,3721,-1.0
1694352845.1812053,3741,-1.0
1694352990.2732558,3761,-1.0
1694353135.2281506,3781,-1.0
1694353280.887682,3801,-1.0
1694353425.9309103,3821,-1.0
