Wall time,Step,Value
1693906557.7752059,1,-1.0
1693906676.5817997,21,-1.0
1693906795.0702865,41,-1.0
1693906914.5502234,61,-1.0
1693907034.4700549,81,-1.0
1693907153.3295105,101,-1.0
1693907272.631736,121,-1.0
1693907391.9073105,141,-1.0
1693907511.717725,161,-1.0
1693907631.1834579,181,-1.0
1693907751.2953103,201,-1.0
1693907871.6422362,221,-1.0
1693907991.9599562,241,-1.0
1693908111.8066854,261,-1.0
1693908231.7782507,281,-1.0
1693908352.3817925,301,-1.0
1693908471.9297557,321,-1.0
1693908591.7128763,341,-1.0
1693908711.4311686,361,-1.0
1693908830.4894323,381,-1.0
1693908951.0634499,401,-1.0
1693909071.1734772,421,-1.0
1693909191.8644915,441,-1.0
1693909312.6304882,461,-1.0
1693909432.3163333,481,-1.0
1693909552.74296,501,-1.0
1693909672.687862,521,-1.0
1693909792.4820545,541,-1.0
1693909913.2590823,561,-1.0
1693910033.2253559,581,-1.0
1693910153.626515,601,-1.0
1693910273.060733,621,-1.0
1693910393.371994,641,-1.0
1693910513.6210015,661,-1.0
1693910633.7932754,681,-1.0
1693910753.3768926,701,-1.0
1693910873.8891559,721,-1.0
1693910993.8581138,741,-1.0
1693911113.6647613,761,-1.0
1693911233.1095278,781,-1.0
1693911353.58141,801,-1.0
1693911474.002841,821,-1.0
1693911593.3069067,841,-1.0
1693911713.126514,861,-1.0
1693911832.4598641,881,-1.0
1693911952.711175,901,-1.0
1693912072.8342414,921,-1.0
1693912192.8331554,941,-1.0
1693912312.8329718,961,-1.0
1693912433.3947632,981,-1.0
1693912553.644497,1001,-1.0
1693912673.78285,1021,-1.0
1693912793.714605,1041,-1.0
1693912913.8767269,1061,-1.0
1693913034.347835,1081,-1.0
1693913153.9080083,1101,-1.0
1693913274.520992,1121,-1.0
1693913394.493995,1141,-1.0
1693913515.1930428,1161,-1.0
1693913635.8099205,1181,-1.0
1693913755.8634224,1201,-1.0
1693913876.143255,1221,-1.0
1693913996.4412322,1241,-1.0
1693914116.7845707,1261,-1.0
1693914237.5893514,1281,-1.0
1693914358.190965,1301,-1.0
1693914478.3906155,1321,-1.0
1693914598.414595,1341,-1.0
1693914718.7319052,1361,-1.0
1693914839.056642,1381,-1.0
1693914959.5072777,1401,-1.0
1693915080.3344684,1421,-1.0
1693915200.84306,1441,-1.0
1693915321.592489,1461,-1.0
1693915442.6375442,1481,-1.0
1693915563.6257422,1501,-1.0
1693915683.776372,1521,-1.0
1693915804.2939506,1541,-1.0
1693915924.6386983,1561,-1.0
1693916044.987514,1581,-1.0
1693916165.2436895,1601,-1.0
1693916284.8235862,1621,-1.0
1693916404.849407,1641,-1.0
1693916525.2886057,1661,-1.0
1693916645.3313978,1681,-1.0
1693916765.203831,1701,-1.0
1693916885.1966636,1721,-1.0
1693917005.7463083,1741,-1.0
1693917126.0990016,1761,-1.0
1693917247.211712,1781,-1.0
1693917367.46878,1801,-1.0
1693917487.8194716,1821,-1.0
1693917608.760602,1841,-1.0
1693917729.4642313,1861,-1.0
1693917850.645991,1881,-1.0
1693917972.4557447,1901,-1.0
1693918092.8974988,1921,-1.0
1693918213.5978715,1941,-1.0
1693918334.4247117,1961,-1.0
1693918455.176917,1981,-1.0
1693918576.642269,2001,-1.0
1693918697.588098,2021,-1.0
1693918817.915945,2041,-1.0
1693918938.82985,2061,-1.0
1693919061.0942702,2081,-1.0
1693919181.8252442,2101,-1.0
1693919303.236257,2121,-1.0
1693919423.8465679,2141,-1.0
1693919545.4229043,2161,-1.0
1693919666.8095586,2181,-1.0
1693919788.1671844,2201,-1.0
1693919908.8496609,2221,-1.0
1693920029.1766074,2241,-1.0
1693920149.9364104,2261,-1.0
1693920269.5310621,2281,-1.0
1693920389.8568645,2301,-1.0
1693920510.8836722,2321,-1.0
1693920632.0353656,2341,-1.0
1693920752.5322418,2361,-1.0
1693920873.1154268,2381,-1.0
1693920994.5619197,2401,-1.0
1693921115.5331502,2421,-1.0
1693921235.7432446,2441,-1.0
1693921356.290276,2461,-1.0
1693921477.3926594,2481,-1.0
1693921598.5208995,2501,-1.0
1693921719.4430165,2521,-1.0
1693921840.1666353,2541,-1.0
1693921960.3291092,2561,-1.0
1693922080.9172504,2581,-1.0
1693922201.6565542,2601,-1.0
1693922321.557518,2621,-1.0
1693922442.4564567,2641,-1.0
1693922563.2690663,2661,-1.0
1693922684.2102215,2681,-1.0
1693922804.6127155,2701,-1.0
1693922925.6666331,2721,-1.0
1693923046.1240087,2741,-1.0
1693923165.0612493,2761,-1.0
1693923285.4776092,2781,-1.0
1693923405.5162206,2801,-1.0
1693923526.0780098,2821,-1.0
1693923645.8407283,2841,-1.0
1693923765.7527852,2861,-1.0
1693923885.7742565,2881,-1.0
1693924006.099433,2901,-1.0
1693924126.7105408,2921,-1.0
1693924247.869145,2941,-1.0
1693924367.995417,2961,-1.0
1693924488.5057952,2981,-1.0
1693924609.6842287,3001,-1.0
1693924730.7668848,3021,-1.0
1693924851.6103973,3041,-1.0
1693924972.1932065,3061,-1.0
1693925092.3040028,3081,-1.0
1693925212.6142726,3101,-1.0
1693925333.1526752,3121,-1.0
1693925453.338702,3141,-1.0
1693925573.8322139,3161,-1.0
1693925694.0030386,3181,-1.0
1693925814.3254395,3201,-1.0
1693925934.1557844,3221,-1.0
1693926054.4199274,3241,-1.0
1693926174.8727531,3261,-1.0
1693926295.5613499,3281,-1.0
1693926416.2889698,3301,-1.0
1693926537.173538,3321,-1.0
1693926656.962949,3341,-1.0
1693926777.6962159,3361,-1.0
1693926898.0033085,3381,-1.0
