Wall time,Step,Value
1696487918.393403,1,-1.0
1696488035.4420884,21,-1.0
1696488150.4510808,41,-1.0
1696488267.3491657,61,-1.0
1696488382.0300786,81,-1.0
1696488497.3721757,101,-1.0
1696488613.239775,121,-1.0
1696488729.1525502,141,-1.0
1696488842.9391696,161,-1.0
1696488957.7201402,181,-1.0
1696489074.2613332,201,-1.0
1696489190.7454293,221,-1.0
1696489308.0506842,241,-1.0
1696489424.2522383,261,-1.0
1696489539.3177996,281,-1.0
1696489653.7652292,301,-1.0
1696489769.3926065,321,-1.0
1696489885.3456187,341,-1.0
1696490003.7335975,361,-1.0
1696490121.418431,381,-1.0
1696490238.0648901,401,-0.9815853834152222
1696490354.8419452,421,-1.0
1696490471.8322937,441,-1.0
1696490587.2339222,461,-1.0
1696490702.937323,481,-1.0
1696490820.3768508,501,-1.0
1696490938.3943863,521,-1.0
1696491052.649572,541,-1.0
1696491168.0539284,561,-1.0
1696491284.9255943,581,-1.0
1696491402.4389713,601,-1.0
1696491519.0510895,621,-1.0
1696491634.5836554,641,-1.0
1696491750.0745595,661,-1.0
1696491866.8640375,681,-1.0
1696491984.9405105,701,-1.0
1696492101.107093,721,-1.0
1696492217.3215897,741,-1.0
1696492333.4547315,761,-1.0
1696492449.8370688,781,-1.0
1696492565.057567,801,-1.0
1696492680.8082557,821,-1.0
1696492797.3562596,841,-1.0
1696492913.275849,861,-1.0
1696493029.6441922,881,-1.0
1696493146.4491794,901,-1.0
1696493263.4063153,921,-1.0
1696493379.6748555,941,-1.0
1696493496.251485,961,-1.0
1696493612.1821656,981,-1.0
1696493729.311339,1001,-1.0
1696493845.7163706,1021,-1.0
1696493962.7016702,1041,-1.0
1696494079.1247182,1061,-1.0
1696494194.8858316,1081,-1.0
1696494311.400994,1101,-1.0
1696494427.1555867,1121,-1.0
1696494542.6305423,1141,-1.0
1696494657.7349868,1161,-1.0
1696494776.1753788,1181,-1.0
1696494894.6810174,1201,-0.9791834354400635
1696495012.004033,1221,-1.0
1696495129.9520135,1241,-1.0
1696495245.6925843,1261,-1.0
1696495362.1062617,1281,-1.0
1696495478.9864564,1301,-1.0
1696495594.6001794,1321,-1.0
1696495712.9189444,1341,-1.0
1696495829.4545603,1361,-1.0
1696495946.422638,1381,-1.0
1696496062.76,1401,-1.0
1696496178.8647962,1421,-1.0
1696496295.0685496,1441,-1.0
1696496412.9294424,1461,-1.0
1696496530.1652095,1481,-0.9783690571784973
1696496648.2399743,1501,-1.0
1696496765.530885,1521,-1.0
1696496884.865692,1541,-1.0
1696497002.5612674,1561,-1.0
1696497119.8579507,1581,-0.9810666441917419
1696497236.5301719,1601,-1.0
1696497354.0386593,1621,-1.0
1696497470.6972988,1641,-0.977197527885437
1696497587.5457587,1661,-1.0
1696497704.336401,1681,-1.0
1696497821.1894712,1701,-1.0
1696497938.0873299,1721,-0.9354251623153687
1696498054.565464,1741,-0.9784819483757019
1696498172.0726821,1761,-0.9793533086776733
1696498287.9272738,1781,-0.9780853390693665
1696498404.9728534,1801,-1.0
1696498522.2313035,1821,-0.9818203449249268
1696498639.8067274,1841,-0.9782840013504028
1696498757.9429061,1861,-0.9781064987182617
1696498874.076582,1881,-1.0
1696498991.974693,1901,-0.9804999828338623
1696499107.587987,1921,-1.0
1696499224.2015944,1941,-0.9802944660186768
1696499340.675453,1961,-0.9010833501815796
1696499458.2189114,1981,-0.9811446070671082
1696499575.355932,2001,-0.978773832321167
1696499692.1672668,2021,-0.8369585871696472
1696499807.2131193,2041,-0.8384819030761719
1696499924.8074236,2061,-0.9809277057647705
1696500042.8040986,2081,-0.9189058542251587
1696500160.8077793,2101,-0.8647882342338562
1696500278.3338044,2121,-0.8552544116973877
1696500396.2574348,2141,-0.8800584673881531
1696500514.2594926,2161,-0.6868439316749573
1696500630.4216313,2181,-0.5551097989082336
1696500746.5093064,2201,-0.8970240950584412
1696500862.421634,2221,-0.48105746507644653
1696500979.291992,2241,-0.9808571338653564
1696501098.9600275,2261,-0.5889333486557007
1696501215.3519387,2281,-0.8625088930130005
1696501331.34467,2301,-0.7992397546768188
1696501447.4583478,2321,0.15572308003902435
1696501564.4355135,2341,-0.28877174854278564
1696501681.913516,2361,-0.6288670301437378
1696501797.2949734,2381,-0.7635976076126099
1696501914.132478,2401,-0.27766481041908264
1696502032.49124,2421,-1.0
1696502150.0122187,2441,-0.425217866897583
1696502265.29734,2461,-0.6642117500305176
1696502382.0945747,2481,-0.6290000081062317
1696502499.7845292,2501,-0.4272928237915039
1696502616.0815637,2521,-0.5468457341194153
1696502732.2829995,2541,-0.6526321768760681
1696502849.6785045,2561,-0.42283695936203003
1696502968.417399,2581,-0.6556000113487244
1696503084.6860297,2601,-0.629719078540802
1696503201.722934,2621,-0.757907509803772
1696503318.739695,2641,-0.7762427926063538
1696503435.0551558,2661,-0.746537983417511
1696503553.5272143,2681,-0.8320000171661377
1696503670.5480034,2701,-0.8708953261375427
1696503787.8715196,2721,-0.6842613816261292
1696503903.6607754,2741,-0.8894761800765991
1696504021.3336794,2761,-0.8925780057907104
1696504137.5815568,2781,-0.8593012094497681
1696504255.2149842,2801,-0.9595929980278015
1696504372.656892,2821,-1.0
1696504490.7580693,2841,-0.9566783905029297
1696504607.4075325,2861,-0.89255291223526
1696504726.2199197,2881,-0.9556841850280762
1696504843.1830595,2901,-0.9113135933876038
1696504961.4509003,2921,-0.954764723777771
1696505078.1483185,2941,-0.8715722560882568
1696505193.6248944,2961,-0.9123151302337646
1696505311.1949968,2981,-0.8277943134307861
1696505428.4850168,3001,-0.8267325758934021
1696505545.6816323,3021,-0.9332737922668457
1696505661.6247501,3041,-0.9321205019950867
1696505778.7715604,3061,-0.9144352674484253
1696505896.1573768,3081,-0.9776904582977295
1696506014.6787002,3101,-0.9554352760314941
1696506132.8558643,3121,-0.9328705668449402
1696506251.4826589,3141,-0.9779762029647827
1696506367.978802,3161,-0.9553690552711487
1696506485.1123,3181,-0.7422196269035339
1696506601.9942312,3201,-0.9768484830856323
1696506718.2277465,3221,-0.8287692070007324
1696506834.9801452,3241,-0.803396463394165
1696506950.933445,3261,-0.7058837413787842
1696507067.355132,3281,-0.6388342976570129
1696507183.8113782,3301,-0.3686777949333191
1696507302.0416567,3321,-0.10825396329164505
1696507420.2465982,3341,-0.14217111468315125
1696507537.7455893,3361,-0.1430833339691162
1696507655.8582485,3381,0.3560970723628998
1696507773.2225645,3401,-0.09890425950288773
1696507889.4932194,3421,-0.02298477292060852
1696508008.730841,3441,-0.006846936419606209
1696508126.1319356,3461,-0.11463212221860886
1696508242.592821,3481,-0.2615652084350586
1696508359.629172,3501,-0.18016842007637024
1696508475.6632278,3521,-0.3754943907260895
1696508592.9231617,3541,-0.1233612522482872
1696508709.8804736,3561,-0.2898162007331848
1696508828.0232675,3581,-0.5104666948318481
1696508947.214523,3601,-0.35108107328414917
1696509065.202865,3621,-0.2699144184589386
1696509181.4443917,3641,-0.5468620657920837
1696509298.1191306,3661,-0.21888171136379242
1696509415.5460927,3681,-0.14434920251369476
1696509532.0727885,3701,-0.280021607875824
1696509650.041425,3721,-0.2469569891691208
1696509768.9467673,3741,0.016545448452234268
1696509886.2651367,3761,0.07117098569869995
1696510002.695489,3781,0.13801053166389465
1696510120.494051,3801,-0.20793651044368744
1696510238.6019814,3821,0.2074769139289856
1696510356.0000887,3841,-0.036560844630002975
1696510472.637772,3861,0.31953921914100647
1696510590.276178,3881,-0.012155442498624325
1696510709.6196718,3901,-0.09046700596809387
1696510827.2252722,3921,-0.21136125922203064
1696510944.1603796,3941,-0.06366138160228729
1696511061.727163,3961,-0.26600000262260437
1696511178.2851193,3981,0.0714285746216774
1696511296.4354994,4001,-0.4255243241786957
1696511413.9407876,4021,0.5075680613517761
1696511532.3281927,4041,-0.3770967721939087
1696511651.214214,4061,-0.18940740823745728
1696511768.3220308,4081,-0.31739890575408936
1696511883.9813306,4101,0.22914573550224304
1696512000.9646618,4121,-0.09843617677688599
1696512120.1940095,4141,-0.0528673455119133
1696512236.8556054,4161,0.25079208612442017
1696512354.4086149,4181,-0.13582010567188263
1696512472.786913,4201,-0.12211517989635468
1696512589.4564462,4221,-0.38197776675224304
1696512706.9714615,4241,0.22359804809093475
1696512825.8268485,4261,-0.40305376052856445
1696512942.7240474,4281,0.11161616444587708
1696513059.6568606,4301,-0.3202087879180908
1696513178.0723395,4321,-0.26038917899131775
1696513295.1660142,4341,-0.05179678648710251
1696513413.4957683,4361,-0.20777659118175507
1696513532.2326522,4381,0.2296600043773651
1696513650.4361198,4401,0.15973132848739624
1696513767.4395695,4421,-0.2320648580789566
1696513884.4783282,4441,-0.06953191012144089
1696514001.510073,4461,-0.3432826101779938
1696514117.9868171,4481,-0.29481080174446106
1696514234.5251548,4501,0.12020512670278549
1696514352.8254068,4521,0.21066009998321533
1696514470.8588388,4541,0.644467294216156
1696514588.2731907,4561,0.08714432269334793
