Wall time,Step,Value
1694065660.5832784,1,-1.0
1694065778.1838224,21,-1.0
1694065897.4029334,41,-1.0
1694066016.2332973,61,-1.0
1694066135.1559505,81,-1.0
1694066254.2096968,101,-1.0
1694066373.36014,121,-1.0
1694066492.2603261,141,-1.0
1694066611.6893723,161,-1.0
1694066731.4799383,181,-1.0
1694066850.7744768,201,-1.0
1694066969.8300235,221,-1.0
1694067089.4356647,241,-1.0
1694067209.104934,261,-1.0
1694067328.4761662,281,-1.0
1694067448.5563545,301,-1.0
1694067568.4262857,321,-1.0
1694067687.9436572,341,-1.0
1694067807.6747344,361,-1.0
1694067927.097991,381,-1.0
1694068046.860505,401,-1.0
1694068165.998606,421,-1.0
1694068286.100779,441,-1.0
1694068406.303345,461,-1.0
1694068526.114381,481,-1.0
1694068645.8488405,501,-1.0
1694068765.3578036,521,-1.0
1694068885.0819771,541,-1.0
1694069005.200055,561,-1.0
1694069124.8800921,581,-1.0
1694069244.7738526,601,-1.0
1694069364.872489,621,-1.0
1694069484.667622,641,-1.0
1694069604.7498946,661,-1.0
1694069724.3614511,681,-1.0
1694069844.8895876,701,-1.0
1694069964.8318853,721,-1.0
1694070085.2568984,741,-1.0
1694070205.2261605,761,-1.0
1694070325.5368755,781,-1.0
1694070445.8601856,801,-1.0
1694070566.3797927,821,-1.0
1694070685.5099819,841,-1.0
1694070806.1728663,861,-1.0
1694070926.832526,881,-1.0
1694071047.8217583,901,-1.0
1694071168.4206045,921,-1.0
1694071289.1759422,941,-1.0
1694071409.8525736,961,-1.0
1694071530.8676615,981,-1.0
1694071652.15204,1001,-1.0
1694071772.9319344,1021,-1.0
1694071893.431589,1041,-1.0
1694072013.7498257,1061,-1.0
1694072133.9687538,1081,-1.0
1694072255.0316224,1101,-1.0
1694072375.7124588,1121,-1.0
1694072496.277219,1141,-1.0
1694072616.6817076,1161,-1.0
1694072737.875655,1181,-1.0
1694072858.6786013,1201,-1.0
1694072979.89751,1221,-1.0
1694073101.0544925,1241,-1.0
1694073221.5443068,1261,-1.0
1694073343.096555,1281,-1.0
1694073464.3164203,1301,-1.0
1694073584.9439669,1321,-1.0
1694073705.8627758,1341,-1.0
1694073827.0333536,1361,-1.0
1694073948.213087,1381,-1.0
1694074069.8231833,1401,-1.0
1694074190.7285147,1421,-1.0
1694074311.9717526,1441,-1.0
1694074432.666551,1461,-1.0
1694074553.2919924,1481,-1.0
1694074674.9122386,1501,-1.0
1694074796.1482425,1521,-1.0
1694074917.220738,1541,-0.9817674160003662
1694075038.7998834,1561,-1.0
1694075160.251607,1581,-1.0
1694075282.025463,1601,-1.0
1694075403.4754817,1621,-1.0
1694075524.6570332,1641,-1.0
1694075645.9273818,1661,-0.9798505902290344
1694075767.3856199,1681,-1.0
1694075889.2084672,1701,-0.9814797639846802
1694076010.7815402,1721,-0.9803656935691833
1694076131.8511522,1741,-1.0
1694076253.475261,1761,-1.0
1694076375.495973,1781,-1.0
1694076497.0577455,1801,-0.9798953533172607
1694076618.343856,1821,-0.9823468327522278
1694076738.4167888,1841,-1.0
1694076859.9264007,1861,-0.9816762804985046
1694076981.124807,1881,-1.0
1694077102.9437463,1901,-0.9804508686065674
1694077224.790747,1921,-0.9815232753753662
1694077346.4060552,1941,-0.8829204440116882
1694077467.9079366,1961,-0.9181264638900757
1694077588.6252155,1981,-0.9040459990501404
1694077710.82018,2001,-0.9384456872940063
1694077833.0215266,2021,-0.9603657126426697
1694077955.5127592,2041,-0.9635906219482422
1694078077.564166,2061,-1.0
1694078198.7979136,2081,-1.0
1694078320.1290357,2101,-0.9386863708496094
1694078442.1695118,2121,-0.8777558207511902
1694078563.8032022,2141,-0.8834057450294495
1694078685.4774446,2161,-0.7696835994720459
1694078806.9925475,2181,-0.905195415019989
1694078928.7714734,2201,-0.7568457126617432
1694079050.6027408,2221,-0.8184999823570251
1694079171.659701,2241,-0.9206321835517883
1694079292.6580617,2261,-0.5560111403465271
1694079414.4643855,2281,-0.9625287652015686
1694079535.7699432,2301,-0.6642485857009888
1694079657.6951878,2321,-0.7929485440254211
1694079778.4636707,2341,-1.0
1694079899.8728297,2361,-0.9234185814857483
1694080020.9041755,2381,-0.9628114104270935
1694080141.8485928,2401,-0.9251627922058105
1694080263.7384176,2421,-0.9809595346450806
1694080384.7808805,2441,-1.0
1694080506.0042531,2461,-0.9059424996376038
1694080627.0427358,2481,-0.8285795450210571
1694080748.6222916,2501,-1.0
1694080870.1195338,2521,-1.0
1694080991.642115,2541,-1.0
1694081113.1956859,2561,-1.0
1694081235.1961582,2581,-1.0
1694081357.0515254,2601,-1.0
1694081478.3840404,2621,-1.0
1694081599.6013567,2641,-1.0
1694081721.5483947,2661,-1.0
1694081843.2723012,2681,-1.0
1694081965.1040452,2701,-1.0
1694082086.448677,2721,-1.0
1694082207.3404055,2741,-1.0
1694082328.8907418,2761,-1.0
1694082450.8557575,2781,-1.0
1694082572.400739,2801,-1.0
1694082694.4274256,2821,-1.0
1694082815.8228984,2841,-1.0
1694082937.5179574,2861,-1.0
1694083059.0664265,2881,-1.0
1694083180.8023214,2901,-1.0
1694083301.8208966,2921,-1.0
1694083423.0911481,2941,-1.0
1694083545.4524484,2961,-1.0
1694083666.5811632,2981,-1.0
1694083788.1240304,3001,-1.0
1694083909.7930467,3021,-1.0
1694084031.5658364,3041,-1.0
1694084153.7361803,3061,-1.0
1694084275.6123896,3081,-1.0
1694084397.8590133,3101,-1.0
1694084518.9549415,3121,-0.9815632104873657
1694084640.7464113,3141,-1.0
1694084762.579447,3161,-1.0
1694084884.222166,3181,-1.0
1694085005.976859,3201,-0.9811976552009583
1694085127.8645456,3221,-0.9635568261146545
1694085249.9366252,3241,-0.8878381252288818
1694085371.9481199,3261,-0.8904659152030945
1694085492.8948011,3281,-0.9261176586151123
1694085614.3013177,3301,-0.8858522772789001
1694085735.7921207,3321,-1.0
1694085857.0904045,3341,-0.8256270885467529
1694085978.3532612,3361,-0.6774505376815796
1694086100.4367197,3381,-0.6698351502418518
1694086221.84904,3401,-0.5824891328811646
1694086342.786379,3421,-0.8690171241760254
1694086463.8046265,3441,-0.9212068915367126
1694086585.231934,3461,-0.9242971539497375
1694086706.4928834,3481,-0.6273770332336426
1694086827.8563619,3501,-0.8479090929031372
