Wall time,Step,Value
1696576818.9134793,1,-1.0
1696576964.1585703,21,-1.0
1696577107.7492583,41,-1.0
1696577250.725311,61,-1.0
1696577394.6254902,81,-1.0
1696577538.2573397,101,-1.0
1696577681.7684112,121,-1.0
1696577824.119174,141,-1.0
1696577968.629685,161,-1.0
1696578113.0143697,181,-1.0
1696578257.6531484,201,-1.0
1696578401.5709195,221,-1.0
1696578546.6740484,241,-1.0
1696578691.0878434,261,-1.0
1696578835.694958,281,-1.0
1696578980.4395385,301,-1.0
1696579125.442234,321,-1.0
1696579270.1343536,341,-1.0
1696579415.034206,361,-1.0
1696579559.2573085,381,-1.0
1696579703.330675,401,-1.0
1696579848.4612885,421,-1.0
1696579994.1593957,441,-1.0
1696580139.0241892,461,-1.0
1696580283.4232566,481,-1.0
1696580429.823483,501,-1.0
1696580574.4217145,521,-1.0
1696580719.3991425,541,-1.0
1696580864.3413332,561,-1.0
1696581009.19381,581,-1.0
1696581153.44052,601,-1.0
1696581297.4360309,621,-1.0
1696581441.5485797,641,-1.0
1696581586.789577,661,-1.0
1696581732.79632,681,-1.0
1696581878.2313066,701,-1.0
1696582022.8965495,721,-1.0
1696582169.475258,741,-1.0
1696582314.4972827,761,-1.0
1696582460.7628322,781,-1.0
1696582606.4300559,801,-1.0
1696582752.523107,821,-1.0
1696582897.8145273,841,-1.0
1696583044.0654354,861,-1.0
1696583190.0433676,881,-1.0
1696583333.726857,901,-1.0
1696583479.9811203,921,-1.0
1696583625.4046116,941,-1.0
1696583770.453712,961,-1.0
1696583915.081257,981,-1.0
1696584061.9164526,1001,-1.0
1696584207.300769,1021,-1.0
1696584351.887832,1041,-1.0
1696584497.461439,1061,-1.0
1696584642.0641778,1081,-1.0
1696584788.578365,1101,-1.0
1696584933.5363705,1121,-1.0
1696585079.2708895,1141,-0.985089123249054
1696585224.8205843,1161,-1.0
1696585370.6196578,1181,-1.0
1696585513.8476524,1201,-1.0
1696585657.951162,1221,-1.0
1696585802.1746492,1241,-1.0
1696585947.1470306,1261,-1.0
1696586091.4569175,1281,-1.0
1696586237.8356688,1301,-1.0
1696586383.7354531,1321,-1.0
1696586529.1320798,1341,-1.0
1696586675.153052,1361,-1.0
1696586820.9997818,1381,-1.0
1696586966.3784142,1401,-1.0
1696587112.2980819,1421,-1.0
1696587256.5975597,1441,-1.0
1696587402.3379128,1461,-1.0
1696587547.7949002,1481,-1.0
1696587693.6433792,1501,-1.0
1696587838.3775373,1521,-1.0
1696587984.235346,1541,-1.0
1696588129.915631,1561,-1.0
1696588275.322377,1581,-1.0
1696588420.4604309,1601,-1.0
1696588566.189697,1621,-1.0
1696588712.128299,1641,-1.0
1696588857.6632643,1661,-1.0
1696589001.6218035,1681,-1.0
1696589146.6774673,1701,-1.0
1696589292.1937418,1721,-1.0
1696589436.576634,1741,-1.0
1696589579.849061,1761,-1.0
1696589724.381616,1781,-1.0
1696589870.682276,1801,-1.0
1696590016.3985975,1821,-1.0
1696590160.6464517,1841,-1.0
1696590305.311871,1861,-1.0
1696590450.5646703,1881,-1.0
1696590597.634241,1901,-1.0
1696590743.7488937,1921,-0.9846060872077942
1696590888.9858484,1941,-1.0
1696591033.8580024,1961,-1.0
1696591178.2263763,1981,-1.0
1696591324.066734,2001,-1.0
1696591469.742638,2021,-1.0
1696591614.8358002,2041,-1.0
1696591761.0746722,2061,-1.0
1696591905.7550259,2081,-1.0
1696592050.7389214,2101,-1.0
1696592194.952577,2121,-1.0
1696592339.3313267,2141,-1.0
1696592485.59969,2161,-1.0
1696592631.2340908,2181,-1.0
1696592776.75942,2201,-1.0
1696592920.973263,2221,-1.0
1696593066.4992223,2241,-1.0
1696593211.4200673,2261,-1.0
1696593355.259558,2281,-1.0
1696593501.0599701,2301,-1.0
1696593646.5167708,2321,-1.0
1696593791.7708554,2341,-1.0
1696593936.989532,2361,-1.0
1696594083.0116618,2381,-1.0
1696594229.0997167,2401,-1.0
1696594374.6472495,2421,-1.0
1696594518.631831,2441,-1.0
1696594664.7601779,2461,-1.0
1696594809.592318,2481,-1.0
1696594955.0840478,2501,-1.0
1696595100.0222623,2521,-1.0
1696595244.6361768,2541,-1.0
1696595388.7837772,2561,-1.0
1696595534.4128866,2581,-1.0
1696595680.1950455,2601,-1.0
1696595826.1274278,2621,-1.0
1696595971.8626032,2641,-1.0
1696596117.5990806,2661,-1.0
1696596262.0357814,2681,-1.0
1696596407.55227,2701,-1.0
1696596551.7913167,2721,-1.0
1696596697.024283,2741,-1.0
1696596842.3003323,2761,-1.0
1696596987.5981526,2781,-1.0
1696597133.563079,2801,-1.0
1696597280.0436487,2821,-1.0
1696597425.2662666,2841,-1.0
1696597571.0409274,2861,-1.0
1696597715.6157615,2881,-1.0
1696597860.9146574,2901,-1.0
1696598004.927247,2921,-1.0
1696598149.8317556,2941,-1.0
1696598295.6874452,2961,-1.0
1696598440.06795,2981,-1.0
1696598585.7882338,3001,-1.0
1696598731.131222,3021,-1.0
1696598877.2173483,3041,-1.0
1696599022.562757,3061,-1.0
1696599169.0404756,3081,-1.0
1696599314.7779088,3101,-1.0
1696599461.541846,3121,-1.0
1696599606.9530833,3141,-1.0
1696599753.4821074,3161,-1.0
1696599899.8375378,3181,-1.0
1696600047.1783304,3201,-1.0
1696600194.1813304,3221,-1.0
1696600341.2140055,3241,-1.0
1696600488.4384558,3261,-1.0
1696600635.2206926,3281,-1.0
1696600782.6105397,3301,-1.0
1696600929.6619544,3321,-1.0
1696601076.2135744,3341,-1.0
1696601222.9843347,3361,-1.0
1696601369.611097,3381,-1.0
1696601516.2851512,3401,-1.0
1696601662.8675137,3421,-1.0
1696601808.2391157,3441,-1.0
1696601955.0676243,3461,-1.0
1696602102.1011791,3481,-1.0
1696602247.4254942,3501,-1.0
1696602393.1381035,3521,-1.0
1696602539.8715973,3541,-1.0
1696602685.910163,3561,-1.0
1696602831.3531933,3581,-1.0
1696602976.3858662,3601,-1.0
1696603121.5871618,3621,-1.0
1696603267.8624966,3641,-1.0
1696603413.6500137,3661,-1.0
1696603558.9830947,3681,-1.0
1696603704.8122025,3701,-1.0
1696603849.9320009,3721,-1.0
1696603995.9449348,3741,-1.0
1696604142.244846,3761,-1.0
1696604288.132304,3781,-1.0
1696604434.7500086,3801,-1.0
1696604579.818241,3821,-1.0
1696604726.52746,3841,-1.0
1696604871.469213,3861,-1.0
1696605018.0483234,3881,-1.0
1696605164.30407,3901,-1.0
1696605310.3608294,3921,-1.0
1696605456.4019585,3941,-1.0
1696605603.369208,3961,-1.0
1696605748.5522704,3981,-1.0
1696605894.7894158,4001,-1.0
1696606040.337436,4021,-1.0
1696606186.893319,4041,-1.0
1696606331.6919193,4061,-1.0
1696606478.1914024,4081,-1.0
1696606624.5709238,4101,-1.0
1696606770.5848396,4121,-1.0
1696606916.5366812,4141,-1.0
1696607063.941785,4161,-1.0
1696607209.9305074,4181,-1.0
1696607354.7580488,4201,-1.0
1696607501.2278786,4221,-1.0
1696607646.856199,4241,-1.0
1696607792.5942187,4261,-1.0
1696607939.6383657,4281,-1.0
1696608085.7205617,4301,-1.0
1696608232.5482824,4321,-1.0
1696608377.9764056,4341,-1.0
1696608525.0703077,4361,-1.0
1696608671.0246773,4381,-0.967264711856842
1696608818.3550198,4401,-1.0
1696608964.200227,4421,-1.0
1696609110.6346495,4441,-1.0
1696609254.6506875,4461,-1.0
1696609399.9289255,4481,-1.0
1696609545.210948,4501,-1.0
1696609691.6406076,4521,-1.0
1696609836.7509668,4541,-1.0
1696609982.4312305,4561,-1.0
1696610127.6876614,4581,-1.0
1696610275.2436707,4601,-1.0
1696610421.274423,4621,-1.0
1696610567.683442,4641,-0.9854009747505188
1696610712.6257098,4661,-1.0
1696610859.1492324,4681,-1.0
1696611004.0838568,4701,-1.0
1696611150.5523438,4721,-1.0
1696611296.0429795,4741,-0.9847783446311951
1696611442.4441202,4761,-1.0
1696611587.9783247,4781,-1.0
1696611734.5844939,4801,-1.0
1696611881.0422268,4821,-1.0
1696612026.4639504,4841,-1.0
1696612173.1611614,4861,-0.9833853840827942
1696612319.5006595,4881,-0.9685418605804443
1696612464.116194,4901,-0.9847699999809265
1696612608.7213306,4921,-0.890561580657959
1696612754.2830136,4941,-0.9164077639579773
1696612900.677093,4961,-0.967542290687561
1696613047.1063693,4981,-0.9341078400611877
1696613192.4125881,5001,-0.9527512192726135
1696613336.5786448,5021,-0.883840799331665
1696613482.1476932,5041,-0.7459904551506042
1696613625.2688744,5061,-0.8526831865310669
1696613771.2074897,5081,-0.872702419757843
1696613914.936349,5101,-0.9034428000450134
1696614060.8011684,5121,-0.7630776762962341
1696614206.689158,5141,-0.9242548942565918
1696614352.4171135,5161,-0.9502243995666504
1696614497.2099981,5181,-0.9512376189231873
1696614643.7263868,5201,-1.0
1696614788.9236891,5221,-0.9536847472190857
1696614933.0623128,5241,-0.9845799803733826
1696615078.447528,5261,-0.9675369262695312
1696615225.0842245,5281,-0.9844215512275696
1696615369.5389009,5301,-0.9530699849128723
1696615515.766356,5321,-0.8416135311126709
1696615660.7018924,5341,-1.0
1696615806.3605957,5361,-0.9668557047843933
1696615950.8873587,5381,-0.984279990196228
1696616097.1293705,5401,-0.9530739188194275
1696616242.6113749,5421,-0.9838829040527344
1696616388.194461,5441,-1.0
1696616533.9549665,5461,-0.9832537174224854
1696616678.9360619,5481,-0.9828712940216064
1696616824.428054,5501,-0.9376354813575745
1696616970.366331,5521,-1.0
1696617116.0911198,5541,-0.9368811845779419
1696617262.0404623,5561,-0.9527326822280884
1696617407.6112595,5581,-0.9211782217025757
1696617553.000489,5601,-0.985089123249054
1696617699.366252,5621,-0.9679313898086548
1696617845.9145842,5641,-0.9677524566650391
1696617991.237715,5661,-0.9831840991973877
1696618137.4479825,5681,-0.9698620438575745
1696618284.4132226,5701,-0.9848158955574036
1696618429.1753144,5721,-1.0
1696618573.709647,5741,-0.9844545722007751
1696618719.444419,5761,-0.9382758736610413
1696618865.2366636,5781,-0.9506138563156128
1696619011.3752408,5801,-0.9696372747421265
1696619156.871242,5821,-1.0
1696619304.3116179,5841,-0.9663940668106079
1696619450.2417483,5861,-0.9685911536216736
1696619597.100032,5881,-1.0
1696619744.6149669,5901,-0.9688194990158081
1696619891.9805343,5921,-0.9699705839157104
1696620038.5952709,5941,-0.9845812916755676
1696620184.4998202,5961,-0.9536862969398499
1696620330.9695606,5981,-0.983683168888092
1696620477.9237013,6001,-0.9836534857749939
1696620623.5998242,6021,-1.0
1696620770.8460042,6041,-0.9677255153656006
1696620917.3954737,6061,-0.9685170650482178
1696621065.3600981,6081,-1.0
1696621210.3394253,6101,-0.9839900135993958
1696621355.568067,6121,-0.984885573387146
1696621501.7554457,6141,-0.9539902210235596
1696621647.709333,6161,-0.9517910480499268
1696621794.0226817,6181,-1.0
1696621939.1399832,6201,-0.9652217030525208
1696622085.490964,6221,-0.936748743057251
1696622231.9878917,6241,-1.0
1696622378.829077,6261,-0.9678325057029724
1696622525.541877,6281,-1.0
1696622672.145107,6301,-0.937141478061676
1696622817.5295715,6321,-0.9644554257392883
1696622963.8837366,6341,-0.9666435718536377
1696623110.4495986,6361,-0.9827263951301575
1696623257.4067893,6381,-1.0
1696623403.76724,6401,-1.0
1696623550.2953289,6421,-0.9834554195404053
1696623697.5187533,6441,-1.0
1696623844.7111228,6461,-1.0
1696623990.4032047,6481,-1.0
1696624135.9817734,6501,-1.0
1696624281.671117,6521,-1.0
1696624428.2286584,6541,-1.0
1696624574.1195877,6561,-1.0
1696624720.4168208,6581,-1.0
1696624867.5060358,6601,-1.0
1696625013.4313521,6621,-1.0
1696625160.095123,6641,-1.0
1696625307.350191,6661,-1.0
1696625454.9382236,6681,-1.0
1696625602.4684677,6701,-1.0
1696625749.5196784,6721,-1.0
1696625895.5038612,6741,-0.982610821723938
1696626041.984422,6761,-0.9508656859397888
1696626189.244686,6781,-0.9849468469619751
1696626336.0218654,6801,-1.0
1696626483.1981153,6821,-0.9684313535690308
1696626629.2577012,6841,-0.9686207175254822
1696626775.3555646,6861,-0.984000027179718
1696626922.0158968,6881,-1.0
1696627069.0376434,6901,-1.0
1696627215.8413088,6921,-1.0
1696627362.0944707,6941,-1.0
1696627508.3641202,6961,-1.0
1696627655.6136148,6981,-1.0
1696627802.9409904,7001,-0.9835960865020752
1696627948.3552706,7021,-0.9843980073928833
1696628095.298493,7041,-1.0
1696628241.7119262,7061,-1.0
1696628386.3624434,7081,-0.983542263507843
1696628532.7206275,7101,-1.0
1696628680.281313,7121,-0.9830531477928162
1696628827.538367,7141,-1.0
1696628974.2884312,7161,-1.0
1696629120.679585,7181,-0.9665911197662354
1696629266.254142,7201,-1.0
1696629411.9818578,7221,-1.0
1696629559.163679,7241,-1.0
1696629705.9972334,7261,-1.0
1696629851.4655416,7281,-0.9850447773933411
1696629997.9216862,7301,-1.0
1696630143.9923475,7321,-1.0
1696630290.1319532,7341,-0.9851078391075134
1696630436.4941535,7361,-1.0
1696630583.0606802,7381,-1.0
1696630730.3874366,7401,-1.0
1696630876.3978937,7421,-0.9850198030471802
1696631024.0926182,7441,-1.0
