Wall time,Step,Value
1696688488.5058491,1,-1.0
1696688632.3077657,21,-1.0
1696688775.6056092,41,-1.0
1696688919.5734425,61,-1.0
1696689064.1856928,81,-1.0
1696689208.9641051,101,-1.0
1696689353.0443532,121,-1.0
1696689497.8723137,141,-1.0
1696689642.2471366,161,-1.0
1696689786.9476085,181,-1.0
1696689931.7510233,201,-1.0
1696690075.205822,221,-1.0
1696690220.5727243,241,-1.0
1696690366.278784,261,-1.0
1696690510.9860797,281,-1.0
1696690655.602349,301,-1.0
1696690799.9413033,321,-1.0
1696690944.3970275,341,-1.0
1696691089.319933,361,-1.0
1696691233.7926214,381,-1.0
1696691379.3752782,401,-1.0
1696691524.2901099,421,-1.0
1696691668.8845248,441,-1.0
1696691814.598136,461,-1.0
1696691959.5682414,481,-1.0
1696692104.6490996,501,-1.0
1696692250.0790145,521,-1.0
1696692394.677377,541,-1.0
1696692539.1022773,561,-1.0
1696692684.3688018,581,-1.0
1696692828.6456592,601,-1.0
1696692974.2031791,621,-1.0
1696693119.3267019,641,-1.0
1696693264.207802,661,-1.0
1696693409.9765239,681,-1.0
1696693555.8042748,701,-1.0
1696693700.4731371,721,-1.0
1696693846.1518252,741,-1.0
1696693991.4390078,761,-1.0
1696694137.3741722,781,-1.0
1696694283.3356824,801,-1.0
1696694429.0284011,821,-1.0
1696694574.237134,841,-1.0
1696694719.7737172,861,-1.0
1696694865.3039203,881,-1.0
1696695010.4950325,901,-1.0
1696695156.4345741,921,-1.0
1696695302.741677,941,-1.0
1696695447.9328701,961,-1.0
1696695592.9267464,981,-1.0
1696695738.7266386,1001,-1.0
1696695884.759478,1021,-1.0
1696696030.9778266,1041,-1.0
1696696177.0158176,1061,-1.0
1696696322.5161984,1081,-1.0
1696696469.0354989,1101,-1.0
1696696614.4894423,1121,-1.0
1696696760.8977215,1141,-1.0
1696696907.5828793,1161,-1.0
1696697052.9515052,1181,-1.0
1696697197.9256265,1201,-1.0
1696697343.9454496,1221,-1.0
1696697489.0793276,1241,-1.0
1696697635.1450806,1261,-1.0
1696697780.9835763,1281,-1.0
1696697927.8678832,1301,-1.0
1696698074.197,1321,-1.0
1696698219.334632,1341,-1.0
1696698364.1200588,1361,-1.0
1696698509.3366354,1381,-1.0
1696698654.9542618,1401,-1.0
1696698801.2079144,1421,-1.0
1696698947.4170134,1441,-1.0
1696699093.4097455,1461,-1.0
1696699240.5448673,1481,-1.0
1696699385.6304283,1501,-1.0
1696699531.3452206,1521,-1.0
1696699677.4159207,1541,-1.0
1696699822.4907103,1561,-1.0
1696699968.7188194,1581,-1.0
1696700114.8715596,1601,-1.0
1696700260.504491,1621,-1.0
1696700406.237402,1641,-1.0
1696700553.5641396,1661,-1.0
1696700698.9127223,1681,-1.0
1696700845.743565,1701,-1.0
1696700991.0462859,1721,-1.0
1696701137.840546,1741,-1.0
1696701283.9956508,1761,-1.0
1696701429.9516568,1781,-1.0
1696701576.9548614,1801,-1.0
1696701722.3780499,1821,-1.0
1696701867.5749292,1841,-1.0
1696702013.2389238,1861,-1.0
1696702160.3564847,1881,-1.0
1696702306.925947,1901,-1.0
1696702451.6269627,1921,-1.0
1696702597.0477197,1941,-1.0
1696702742.8050368,1961,-1.0
1696702888.5991457,1981,-1.0
1696703033.3056235,2001,-1.0
1696703179.283484,2021,-1.0
1696703324.9100518,2041,-1.0
1696703471.6153905,2061,-1.0
1696703617.649633,2081,-1.0
1696703764.1447446,2101,-1.0
1696703910.0004764,2121,-1.0
1696704056.111331,2141,-1.0
1696704201.7870398,2161,-1.0
1696704347.9728355,2181,-1.0
1696704494.531077,2201,-1.0
1696704642.0296636,2221,-1.0
1696704787.482146,2241,-1.0
1696704933.5967035,2261,-1.0
1696705080.0671513,2281,-1.0
1696705225.2368708,2301,-1.0
1696705371.7267177,2321,-1.0
1696705517.4863622,2341,-1.0
1696705664.167992,2361,-1.0
1696705810.102462,2381,-1.0
1696705956.1126015,2401,-1.0
1696706101.3537333,2421,-1.0
1696706248.3687024,2441,-1.0
1696706394.9192286,2461,-1.0
1696706542.4289477,2481,-1.0
1696706687.7991025,2501,-1.0
1696706834.430697,2521,-1.0
1696706981.397699,2541,-1.0
1696707127.8238876,2561,-1.0
1696707275.140703,2581,-1.0
1696707420.9735184,2601,-1.0
1696707567.9741957,2621,-1.0
1696707714.547503,2641,-1.0
1696707860.3630433,2661,-1.0
1696708006.7328224,2681,-1.0
1696708152.8617382,2701,-1.0
1696708298.45589,2721,-1.0
1696708446.195819,2741,-1.0
1696708592.9028664,2761,-1.0
1696708739.3269987,2781,-1.0
1696708887.1191123,2801,-1.0
1696709034.3820803,2821,-1.0
1696709180.6918135,2841,-1.0
1696709327.3411665,2861,-1.0
1696709474.315897,2881,-1.0
1696709621.0417495,2901,-1.0
1696709768.7902784,2921,-1.0
1696709916.6666188,2941,-1.0
1696710063.7429469,2961,-1.0
1696710211.3014338,2981,-1.0
1696710358.1801457,3001,-1.0
1696710504.2511446,3021,-1.0
1696710650.2966068,3041,-1.0
1696710796.6735501,3061,-1.0
1696710943.8384213,3081,-1.0
1696711090.385727,3101,-1.0
1696711237.8698127,3121,-1.0
1696711386.1217103,3141,-1.0
1696711531.8340747,3161,-1.0
1696711678.0112443,3181,-1.0
1696711824.0229015,3201,-1.0
1696711971.0836189,3221,-1.0
1696712118.335874,3241,-1.0
1696712264.3968153,3261,-1.0
1696712411.2089744,3281,-1.0
1696712556.8879378,3301,-1.0
1696712703.6703825,3321,-1.0
1696712849.4174168,3341,-1.0
1696712996.1652052,3361,-1.0
1696713141.9249263,3381,-1.0
1696713287.7988744,3401,-1.0
1696713433.4164398,3421,-1.0
1696713579.2838542,3441,-1.0
1696713724.635503,3461,-0.9829999804496765
1696713870.252475,3481,-1.0
1696714014.7090952,3501,-1.0
1696714160.2917056,3521,-1.0
1696714306.0711522,3541,-1.0
1696714451.355518,3561,-1.0
1696714596.5193563,3581,-1.0
1696714741.9206111,3601,-1.0
1696714888.3739612,3621,-0.9666699171066284
1696715033.234465,3641,-0.9823168516159058
1696715179.1113236,3661,-1.0
1696715324.947233,3681,-1.0
1696715471.1880174,3701,-1.0
1696715616.8884974,3721,-1.0
1696715762.307956,3741,-1.0
1696715909.1443458,3761,-1.0
1696716054.9482982,3781,-1.0
1696716201.273837,3801,-1.0
1696716347.1845486,3821,-1.0
1696716493.5176735,3841,-1.0
1696716638.4135962,3861,-1.0
1696716784.7569194,3881,-1.0
1696716931.7648437,3901,-1.0
1696717076.9103239,3921,-1.0
1696717223.6208875,3941,-1.0
1696717369.969824,3961,-1.0
1696717515.3328226,3981,-1.0
1696717662.5676887,4001,-1.0
1696717808.8326676,4021,-1.0
1696717955.217271,4041,-1.0
1696718101.9127135,4061,-1.0
1696718248.6890852,4081,-1.0
1696718394.8570023,4101,-1.0
1696718540.7771132,4121,-0.9841399788856506
1696718687.5390174,4141,-0.982758641242981
1696718834.3828404,4161,-1.0
1696718980.8928356,4181,-1.0
1696719128.1052375,4201,-1.0
1696719274.1288292,4221,-1.0
1696719420.4774513,4241,-1.0
1696719568.013367,4261,-1.0
1696719713.7423663,4281,-1.0
1696719860.590327,4301,-1.0
1696720006.781122,4321,-0.9845399856567383
1696720154.003307,4341,-1.0
1696720300.5579996,4361,-1.0
1696720447.3099053,4381,-1.0
1696720593.7523181,4401,-1.0
1696720740.2229445,4421,-1.0
1696720886.627107,4441,-1.0
1696721032.1355865,4461,-1.0
1696721179.5408685,4481,-0.9843681454658508
1696721325.7917273,4501,-1.0
1696721471.9074976,4521,-0.9695643782615662
1696721617.3465092,4541,-1.0
1696721764.093902,4561,-1.0
1696721910.77197,4581,-1.0
1696722058.1037803,4601,-1.0
1696722204.3739517,4621,-1.0
1696722350.3821404,4641,-1.0
1696722497.2523904,4661,-1.0
1696722643.3513057,4681,-0.9842600226402283
1696722789.333786,4701,-1.0
1696722936.3684313,4721,-1.0
1696723083.2049243,4741,-1.0
1696723230.3303547,4761,-1.0
1696723377.7853103,4781,-1.0
1696723524.947808,4801,-0.9846404194831848
1696723671.3601935,4821,-1.0
1696723818.1151402,4841,-1.0
1696723965.1000352,4861,-0.9683663249015808
1696724111.5148942,4881,-1.0
1696724257.0397263,4901,-1.0
1696724403.4647737,4921,-1.0
1696724550.5359418,4941,-1.0
1696724696.9859514,4961,-1.0
1696724844.1998107,4981,-1.0
1696724990.48838,5001,-1.0
1696725136.8878443,5021,-0.9839900135993958
1696725283.3736422,5041,-1.0
1696725430.113773,5061,-1.0
1696725576.040256,5081,-1.0
1696725722.4960418,5101,-1.0
1696725869.8198183,5121,-0.9813694357872009
1696726015.5563014,5141,-1.0
1696726162.4898412,5161,-1.0
1696726309.9630983,5181,-1.0
1696726456.1750686,5201,-1.0
1696726602.0298963,5221,-1.0
1696726748.9130177,5241,-1.0
1696726895.0279894,5261,-1.0
1696727040.9265625,5281,-1.0
1696727187.6829903,5301,-1.0
1696727334.5640883,5321,-1.0
1696727481.6778417,5341,-1.0
1696727627.9727721,5361,-1.0
1696727773.9710717,5381,-1.0
1696727920.4563274,5401,-0.9813065528869629
1696728067.4153905,5421,-0.9820696711540222
1696728214.7272763,5441,-1.0
1696728361.1511614,5461,-1.0
1696728507.7622578,5481,-1.0
1696728654.4420874,5501,-0.9819599986076355
1696728801.2119586,5521,-1.0
1696728946.3138208,5541,-1.0
1696729093.5492272,5561,-1.0
1696729240.4406471,5581,-1.0
1696729386.6588974,5601,-1.0
1696729532.970905,5621,-1.0
1696729678.6780958,5641,-1.0
1696729825.061377,5661,-1.0
1696729971.8495219,5681,-0.9830600023269653
1696730117.8442686,5701,-0.9840800166130066
1696730264.510782,5721,-1.0
1696730410.377552,5741,-1.0
1696730557.7513933,5761,-0.9850248694419861
1696730703.825298,5781,-0.9828600287437439
1696730850.0229478,5801,-1.0
1696730996.8934486,5821,-1.0
1696731143.7564049,5841,-1.0
1696731289.9030652,5861,-1.0
1696731436.8659856,5881,-1.0
1696731583.2326388,5901,-1.0
1696731730.3247302,5921,-1.0
1696731877.663525,5941,-1.0
1696732024.8200238,5961,-1.0
1696732171.6519306,5981,-0.9480895400047302
1696732318.295183,6001,-1.0
1696732463.890975,6021,-1.0
1696732610.1893382,6041,-1.0
1696732756.3923972,6061,-1.0
1696732903.0153701,6081,-1.0
1696733050.1109703,6101,-1.0
1696733196.9057872,6121,-1.0
1696733342.6686592,6141,-1.0
1696733489.6463752,6161,-1.0
1696733636.0479794,6181,-1.0
1696733782.9061692,6201,-1.0
1696733929.956486,6221,-1.0
1696734077.0667229,6241,-1.0
1696734224.0070715,6261,-1.0
1696734369.9911275,6281,-1.0
1696734516.0513527,6301,-0.9825999736785889
1696734662.9669547,6321,-1.0
1696734809.3729625,6341,-1.0
1696734955.1321638,6361,-1.0
1696735102.651594,6381,-0.9816274642944336
1696735248.5111225,6401,-1.0
1696735396.0768237,6421,-1.0
1696735542.5751073,6441,-1.0
1696735689.3664043,6461,-1.0
1696735836.197885,6481,-0.982758641242981
1696735982.6817932,6501,-1.0
1696736128.4240828,6521,-1.0
1696736275.4238527,6541,-1.0
1696736421.9528978,6561,-1.0
1696736568.5907261,6581,-1.0
1696736714.689558,6601,-1.0
1696736861.5300522,6621,-1.0
1696737007.7843592,6641,-0.9828159213066101
1696737153.6036909,6661,-0.9844599962234497
1696737300.0871818,6681,-1.0
1696737446.7161157,6701,-1.0
1696737593.6490998,6721,-0.9846831560134888
1696737740.4544537,6741,-1.0
1696737887.4690316,6761,-1.0
1696738033.4896178,6781,-0.9818606972694397
1696738180.4900742,6801,-0.9831370711326599
1696738326.861754,6821,-1.0
1696738473.74694,6841,-1.0
1696738620.994812,6861,-0.9822388291358948
1696738767.5152388,6881,-0.9836199879646301
1696738913.84673,6901,-1.0
1696739059.418344,6921,-0.9844545722007751
1696739205.0041327,6941,-1.0
1696739351.812574,6961,-1.0
1696739498.8571303,6981,-0.9679200053215027
1696739646.3361316,7001,-1.0
1696739793.097522,7021,-0.9672610759735107
1696739939.19652,7041,-1.0
1696740086.7129364,7061,-0.9512941241264343
1696740234.1353955,7081,-1.0
1696740380.9123697,7101,-1.0
1696740528.1126566,7121,-1.0
1696740675.3937016,7141,-1.0
1696740821.5197434,7161,-1.0
1696740968.3652482,7181,-0.9851484894752502
1696741115.173284,7201,-0.9819211959838867
1696741262.633552,7221,-0.9830945134162903
1696741410.1619477,7241,-1.0
1696741556.327556,7261,-1.0
1696741703.0125737,7281,-1.0
1696741850.037072,7301,-0.9661300182342529
1696741996.4778466,7321,-0.9818029403686523
1696742141.826356,7341,-1.0
1696742288.2888827,7361,-0.9848514795303345
1696742436.2155652,7381,-0.9841365814208984
1696742582.5514994,7401,-0.9830049872398376
1696742729.8279052,7421,-0.9514129161834717
1696742876.309355,7441,-0.9827525019645691
1696743022.8208137,7461,-0.9834752678871155
1696743170.0794156,7481,-0.9833433032035828
1696743317.2451837,7501,-0.982522189617157
1696743463.1545293,7521,-1.0
